n_SAD,n_HC,mean_SAD,mean_HC,diff_SAD_minus_HC,cohens_d_SAD_minus_HC,p,index,measure,q_within_measure
22,28,-0.0017330412073120049,-0.0009541364841706481,-0.0007789047231413568,-0.060411887286995064,0.8361599238501601,CSR_ext_earlyReinstCSR_distance_inverted,slope,0.8361599238501601
22,28,-0.0033095573466487434,-0.002911090925909469,-0.00039846642073927425,-0.006973668231745405,0.980503832485077,CSR_ext_earlyReinstCSR_distance_inverted,early_late_change,0.980503832485077
22,28,-0.03646908351625565,-0.02427034431579914,-0.01219873920045651,-0.10844308437547709,0.7006861433918549,CSR_ext_earlyReinstCSR_distance_inverted,initial_final_change,0.8053745909106321
22,28,-0.9931807732342502,-1.00554718532466,0.012366412090409784,0.4871377436959887,0.077523076910407,CSR_ext_earlyReinstCSR_distance_inverted,auc_mean,0.155046153820814
22,28,-0.8806841554792464,-0.8837539021888637,0.003069746709617349,0.036928625325427886,0.8975415044884321,CSR_ext_earlyReinstCSR_distance_inverted,peak_learned_value,0.8975415044884321
22,28,4.409090909090909,4.392857142857143,0.016233766233765934,0.0076175426380207896,0.9785347275701768,CSR_ext_earlyReinstCSR_distance_inverted,time_to_peak_trial,0.9785347275701768
22,28,0.13409803581003335,0.15310111253950084,-0.019003076729467494,-0.1418647535120354,0.6103353502372935,CSR_ext_earlyReinstCSR_distance_inverted,peak_minus_first,0.6571065205742885
22,28,-0.9976062306809396,-1.019221916422582,0.02161568574164241,0.3625626907746974,0.20319371341335185,CSR_ext_earlyReinstCSR_distance_inverted,early_mean,0.4063874268267037
22,28,-0.9862001733854808,-0.9949152594546558,0.008715086069174927,0.20638333591644473,0.44114752524636747,CSR_ext_earlyReinstCSR_distance_inverted,mid_mean,0.6536110622269613
22,28,-1.0027165154850999,-1.0131363059667464,0.01041979048164654,0.1827753986308634,0.537762080297673,CSR_ext_earlyReinstCSR_distance_inverted,late_mean,0.70058992834073
22,28,-0.0007635992407762242,-0.002669148678817851,0.0019055494380416267,0.06502528280539548,0.8208022074101137,CSR_ext_earlyReinstCSR_proximity,slope,0.8361599238501601
22,28,-0.012026651421988306,-0.020204359686617903,0.008177708264629597,0.07029136728458578,0.8106926374635859,CSR_ext_earlyReinstCSR_proximity,early_late_change,0.980503832485077
22,28,-0.031318337627507596,-0.013946210750669917,-0.01737212687683768,-0.06795232291976357,0.8053745909106321,CSR_ext_earlyReinstCSR_proximity,initial_final_change,0.8053745909106321
22,28,0.14252794126521867,0.14531459768801636,-0.0027866564227976842,-0.0495500186712437,0.8611738901539577,CSR_ext_earlyReinstCSR_proximity,auc_mean,0.8611738901539577
22,28,0.3529360050042401,0.3896976579632186,-0.036761652958978486,-0.2945048404663909,0.30640359979315707,CSR_ext_earlyReinstCSR_proximity,peak_learned_value,0.6128071995863141
22,28,4.954545454545454,4.0,0.9545454545454541,0.4174646434419894,0.14772633836496127,CSR_ext_earlyReinstCSR_proximity,time_to_peak_trial,0.29545267672992254
22,28,0.23499962546631908,0.2618807484334464,-0.026881122967127302,-0.12653339146705433,0.6571065205742885,CSR_ext_earlyReinstCSR_proximity,peak_minus_first,0.6571065205742885
22,28,0.14196258050380536,0.14690862719732073,-0.004946046693515366,-0.041639328984137025,0.8830833715561652,CSR_ext_earlyReinstCSR_proximity,early_mean,0.8830833715561652
22,28,0.1392377389773501,0.14868778292555346,-0.009450043948203368,-0.1219681924392188,0.6536110622269613,CSR_ext_earlyReinstCSR_proximity,mid_mean,0.6536110622269613
22,28,0.14967370660236912,0.1369741977036379,0.012699508898731227,0.11083453374171139,0.70058992834073,CSR_ext_earlyReinstCSR_proximity,late_mean,0.70058992834073
