n_SAD,n_HC,mean_SAD,mean_HC,diff_SAD_minus_HC,cohens_d_SAD_minus_HC,p,index,measure,q_within_measure
22,28,0.0009694419665357809,-0.001715012194647203,0.002684454161182984,0.10513279329894723,0.7069559675073792,CSR_ext_distance_from_safety,slope,0.8173499851670183
22,28,-0.008717094075339523,-0.017293268760708465,0.008576174685368943,0.08723375337343892,0.7620332161080403,CSR_ext_distance_from_safety,early_late_change,0.7620332161080403
22,28,0.005150745888748052,0.010324133565129226,-0.005173387676381174,-0.024085327967618232,0.929709960059492,CSR_ext_distance_from_safety,initial_final_change,0.929709960059492
22,28,1.1357087144994693,1.1508617830126764,-0.01515306851320708,-0.26635146564090184,0.36213091503143535,CSR_ext_distance_from_safety,auc_mean,0.578310940596567
22,28,1.2954335588736958,1.3504519115754527,-0.05501835270175692,-0.5768697448993425,0.039272022821824085,CSR_ext_distance_from_safety,peak_learned_value,0.11781606846547225
22,28,4.818181818181818,4.392857142857143,0.4253246753246751,0.17365275470491634,0.5413874713364832,CSR_ext_distance_from_safety,time_to_peak_trial,0.8120812070047249
22,28,0.16271498804649503,0.18577998731731585,-0.023064999270820813,-0.13381928725274458,0.6187712802018,CSR_ext_distance_from_safety,peak_minus_first,0.9254442884801614
22,28,1.139568811184745,1.166130543619903,-0.026561732435157914,-0.2420222679031639,0.39586790672848626,CSR_ext_distance_from_safety,early_mean,0.6364392738653016
22,28,1.1254379123628313,1.1436030423802095,-0.018165130017378184,-0.24924808282378647,0.37072517286282747,CSR_ext_distance_from_safety,mid_mean,0.5560877592942413
22,28,1.152390222087469,1.1501105036703845,0.0022797184170846307,0.02169137841442377,0.9400947027866905,CSR_ext_distance_from_safety,late_mean,0.9400947027866905
22,28,-0.0009145803497762292,0.003541428439215528,-0.004456008788991757,-0.5033427504777168,0.07439413703339451,CSR_ext_shock_distance_inverted,slope,0.22318241110018353
22,28,-0.004759233555586787,0.01507419146636757,-0.019833425021954357,-0.4908963524104586,0.08375762017741017,CSR_ext_shock_distance_inverted,early_late_change,0.2512728605322305
22,28,-0.00010266273519901866,0.02816371135611786,-0.028266374091316878,-0.30990600406633867,0.2760747938074742,CSR_ext_shock_distance_inverted,initial_final_change,0.8282243814224226
22,28,-0.9968315018140774,-1.0001648685204017,0.0033333667063242256,0.15707358852480474,0.578310940596567,CSR_ext_shock_distance_inverted,auc_mean,0.578310940596567
22,28,-0.9022804991441059,-0.912759181199804,0.01047868205569813,0.16531188373587918,0.5652722818106074,CSR_ext_shock_distance_inverted,peak_learned_value,0.5652722818106074
22,28,4.681818181818182,5.178571428571429,-0.49675324675324717,-0.2315705162621919,0.4174176146812558,CSR_ext_shock_distance_inverted,time_to_peak_trial,0.8120812070047249
22,28,0.09497019334893496,0.09730160321496224,-0.002331409866027284,-0.025809168766136443,0.9254442884801614,CSR_ext_shock_distance_inverted,peak_minus_first,0.9254442884801614
22,28,-0.9993165795610774,-0.9985452638607877,-0.0007713157002897653,-0.015992036179338382,0.9560609646740608,CSR_ext_shock_distance_inverted,early_mean,0.9560609646740608
22,28,-0.9911332371266979,-1.0091579102596342,0.01802467313293632,0.6479608476710352,0.026688260619023803,CSR_ext_shock_distance_inverted,mid_mean,0.08006478185707142
22,28,-1.005742953441836,-0.9837983897015502,-0.02194456374028586,-0.5854622959629774,0.04524692680195795,CSR_ext_shock_distance_inverted,late_mean,0.13574078040587387
22,28,5.486161675955221e-05,0.0018264162445683252,-0.001771554627808773,-0.0644350523433963,0.8173499851670183,CSR_ext_shock_proximity,slope,0.8173499851670183
22,28,-0.01347632763092636,-0.002219077294340871,-0.011257250336585489,-0.10279171678717802,0.7182922063425585,CSR_ext_shock_proximity,early_late_change,0.7620332161080403
22,28,0.005048083153549033,0.03848784492124708,-0.03343976176769804,-0.14928904033010507,0.5973895652173212,CSR_ext_shock_proximity,initial_final_change,0.8960843478259819
22,28,0.13887721268539185,0.15069691449227482,-0.011819701806882965,-0.19024406942015284,0.5210456396991141,CSR_ext_shock_proximity,auc_mean,0.578310940596567
22,28,0.3301217422964633,0.381185706947837,-0.051063964651373694,-0.45973748843018974,0.09833122672463297,CSR_ext_shock_proximity,peak_learned_value,0.14749684008694947
22,28,4.863636363636363,4.821428571428571,0.04220779220779214,0.01703431295984198,0.9520759133436267,CSR_ext_shock_proximity,time_to_peak_trial,0.9520759133436267
22,28,0.1946538639623033,0.22657456710446652,-0.03192070314216322,-0.17257922527461914,0.5257356955113072,CSR_ext_shock_proximity,peak_minus_first,0.9254442884801614
22,28,0.14025223162366782,0.16758527975911533,-0.027333048135447513,-0.22690634541595542,0.4242928492435344,CSR_ext_shock_proximity,early_mean,0.6364392738653016
22,28,0.13430467523613332,0.13444513212057502,-0.00014045688444169757,-0.0019468580348282198,0.9945126183327102,CSR_ext_shock_proximity,mid_mean,0.9945126183327102
22,28,0.14664726864563293,0.166312113968834,-0.019664845323201063,-0.17297984601525943,0.5518782214726485,CSR_ext_shock_proximity,late_mean,0.8278173322089728
