metric,analysis,n_SAD,n_HC,mean_SAD,mean_HC,diff_SAD_minus_HC,cohens_d_SAD_minus_HC,hedges_g_SAD_minus_HC,rank_biserial_SAD_vs_HC,t,p,scalar_auc_abs_direction,phase,feature_space,all_subjects_adjusted_group_beta,all_subjects_adjusted_group_p,all_subjects_adjusted_model_n,q_within_phase_feature,rank_score,profile,profile_order,metric_family,interpretation,direction_summary,passes_nominal_p05,passes_family_q05
Neural_RawMean_SafetyMinusBackground,placebo_SAD_vs_HC,23,28,5.4176275548727615,-1.6977766241346086,7.1154041790073705,0.5431286746723434,0.5347728489081535,0.2515527950310559,1.9416810718121797,0.058051820676217586,0.6257763975155279,phase2_extinction,phase2_ext_roi,6.90659343420595,0.06972589383587942,102,0.29843058829264374,2.7861990950226243,Q5_activation_magnitude_secondary,5,raw_activation_mean,Derived FearNetwork profile metric.,SAD higher than HC,False,False
Neural_ThreatAxisSeparation,placebo_SAD_vs_HC,22,28,0.5441812090012299,0.46215071899086935,0.08203049001036056,0.5489649251885429,0.5403424394525972,0.23051948051948057,1.920570276739255,0.06118450440028654,0.6152597402597403,phase3_reinstatement,phase3_reinst_roi,0.07582792916910903,0.091363456224113,100,0.847842418118259,2.75,Q1_geometry_topology,1,axis_projection_geometry,How far safety sits away from the threat end of the background-to-threat axis.,SAD higher than HC,False,False
Neural_Safety_ThreatAxisProjection,placebo_SAD_vs_HC,22,28,0.45581879099877015,0.5378492810091307,-0.0820304900103605,-0.5489649251885425,-0.5403424394525967,-0.23051948051948057,-1.9205702767392538,0.06118450440028673,0.6152597402597403,phase3_reinstatement,phase3_reinst_roi,-0.07582792916910895,0.09136345622411335,100,0.847842418118259,2.745475113122172,Q1_geometry_topology,1,axis_projection_geometry,Projection of safety onto the background-to-threat axis; higher values mean safety is more threat-like.,SAD lower than HC,False,False
Neural_Threat_Volatility,placebo_SAD_vs_HC,23,28,0.244488539646907,0.32431431954599615,-0.07982577989908915,-0.5322713025272776,-0.5240825132576272,-0.21739130434782605,-1.9907547558787833,0.052733824096260436,0.6086956521739131,phase2_extinction,phase2_ext_roi,-0.08916945016368256,0.01706014879132039,102,0.29843058829264374,2.7194570135746607,Q3_learning_dynamics,3,trajectory_volatility,Trial-to-trial instability in threat evidence.,SAD lower than HC,False,False
Neural_ThreatToBackgroundDistanceRatio,placebo_SAD_vs_HC,23,28,1.019813665989466,1.1601769362140424,-0.1403632702245763,-0.47706367762521923,-0.4697242364309851,-0.3012422360248448,-1.752350355098875,0.08609150827355369,0.6506211180124224,phase2_extinction,phase2_ext_roi,-0.15903370436024344,0.01935207541372937,102,0.29843058829264374,2.7058823529411766,Q1_geometry_topology,1,normalized_geometry_ratio,Ratio of threat-background distance to safety-background distance.,SAD lower than HC,False,False
Neural_PrototypeEvidenceEntropy,placebo_SAD_vs_HC,23,28,0.8416591552367944,0.8239869358038412,0.017672219432953162,0.5191447047311649,0.5111578631199163,0.2360248447204969,1.843287737288512,0.07160522405631314,0.6180124223602484,phase2_extinction,phase2_ext_roi,0.020894605671595075,0.012080589187959115,102,0.29843058829264374,2.701357466063348,Q4_precision_dispersion,4,representational_certainty,Mean binary entropy of safety and threat prototype evidence; lower values indicate more certain evidence.,SAD higher than HC,False,False
Neural_VicariousDiscrimination,placebo_SAD_vs_HC,23,28,0.015389239218065467,0.1409598596595318,-0.12557062044146633,-0.470418404939088,-0.4631811987092559,-0.23913043478260876,-1.7130939519641393,0.09303168357091282,0.6195652173913044,phase2_extinction,phase2_ext_roi,-0.13781332245269026,0.041464659338660885,102,0.29843058829264374,2.6153846153846154,Q1_geometry_topology,1,composite_geometry,Composite separation of threat from safety/background after accounting for safety-background distance.,SAD lower than HC,False,False
Neural_SafetySimilarity_Background,placebo_SAD_vs_HC,23,28,-0.48319342144416205,-0.3982063672287897,-0.08498705421537234,-0.46142529991979797,-0.4543264491518011,-0.24534161490683237,-1.6886233075818826,0.09771068060853294,0.6226708074534162,phase2_extinction,phase2_ext_roi,-0.09335897465355711,0.04310575146830739,102,0.29843058829264374,2.6142533936651584,Q1_geometry_topology,1,pairwise_geometry,Derived FearNetwork profile metric.,SAD lower than HC,False,False
Neural_Dist_Safety_Background,placebo_SAD_vs_HC,23,28,1.4831934214441622,1.3982063672287899,0.08498705421537234,0.46142529991979797,0.4543264491518011,0.24534161490683237,1.6886233075818826,0.09771068060853307,0.6226708074534162,phase2_extinction,phase2_ext_roi,0.09335897465355729,0.04310575146830697,102,0.29843058829264374,2.6119909502262444,Q1_geometry_topology,1,pairwise_geometry,Pattern distance between safety cue and background cue.,SAD higher than HC,False,False
Neural_Dist_Threat_Background,placebo_SAD_vs_HC,23,28,1.4798236264835565,1.558473712815117,-0.07865008633156045,-0.49931308057002566,-0.4916313408689484,-0.21118012422360255,-1.6960393827478675,0.09874156136610518,0.6055900621118013,phase2_extinction,phase2_ext_roi,-0.09440912093801954,0.018699668108918096,102,0.29843058829264374,2.590497737556561,Q1_geometry_topology,1,pairwise_geometry,Pattern distance between reinforced/threat cue and background cue.,SAD lower than HC,False,False
Neural_PrototypeEvidenceMargin,placebo_SAD_vs_HC,23,28,0.16049735119254233,0.17732652388965361,-0.01682917269711129,-0.4455855870099528,-0.43873042413287666,-0.24534161490683226,-1.6245030108746898,0.11070812146340009,0.6226708074534162,phase2_extinction,phase2_ext_roi,-0.018066396328278878,0.06698921393639694,102,0.29843058829264374,2.558823529411765,Q4_precision_dispersion,4,representational_certainty,Mean signed distance from ambiguous prototype evidence for safety and threat cues.,SAD lower than HC,False,False
Neural_BoundarySeparation,placebo_SAD_vs_HC,23,28,0.32099470238508465,0.35465304777930723,-0.03365834539422258,-0.4455855870099527,-0.43873042413287655,-0.24534161490683226,-1.6245030108746898,0.11070812146340009,0.6226708074534162,phase2_extinction,phase2_ext_roi,-0.03613279265655778,0.0669892139363968,102,0.29843058829264374,2.555429864253394,Q2_decision_evidence,2,decision_boundary,Difference between threat evidence for CSR and threat evidence for CSS.,SAD lower than HC,False,False
Neural_BoundaryCertainty,placebo_SAD_vs_HC,23,28,0.32099470238508465,0.35465304777930723,-0.03365834539422258,-0.4455855870099527,-0.43873042413287655,-0.24534161490683226,-1.6245030108746898,0.11070812146340009,0.6226708074534162,phase2_extinction,phase2_ext_roi,-0.03613279265655778,0.0669892139363968,102,0.29843058829264374,2.555429864253394,Q4_precision_dispersion,4,representational_certainty,Absolute separation between prototype threat evidence for CSR and CSS.,SAD lower than HC,False,False
Neural_ThreatEvidenceCertainty,placebo_SAD_vs_HC,23,28,0.62567622980622,0.6509794258180087,-0.025303196011788764,-0.4932169810217465,-0.4856290274675658,-0.21118012422360255,-1.6544182634218845,0.10795517361793952,0.6055900621118013,phase2_extinction,phase2_ext_roi,-0.03022756624582053,0.017705139094870353,102,0.29843058829264374,2.5542986425339365,Q4_precision_dispersion,4,representational_certainty,Derived FearNetwork profile metric.,SAD lower than HC,False,False
Neural_ThreatEvidence,placebo_SAD_vs_HC,23,28,0.81283811490311,0.8254897129090043,-0.012651598005894327,-0.4932169810217443,-0.48562902746756365,-0.21118012422360255,-1.6544182634218771,0.10795517361794105,0.6055900621118013,phase2_extinction,phase2_ext_roi,-0.01511378312291022,0.017705139094870644,102,0.29843058829264374,2.5497737556561084,Q2_decision_evidence,2,prototype_evidence,Prototype evidence that threat trials look threat-like rather than background-like.,SAD lower than HC,False,False
Neural_Safety_Volatility,placebo_SAD_vs_HC,23,28,0.2316052807295099,0.26942883590570477,-0.03782355517619487,-0.45009182476279547,-0.44316733515106016,-0.19565217391304346,-1.6646765182550458,0.10264966045953272,0.5978260869565217,phase2_extinction,phase2_ext_roi,-0.047298217274367914,0.08012400560951648,102,0.29843058829264374,2.4592760180995477,Q3_learning_dynamics,3,trajectory_volatility,Trial-to-trial instability in safety evidence.,SAD lower than HC,False,False
Neural_SafetyVsBackgroundDispersion,placebo_SAD_vs_HC,23,28,0.029510119824300633,-0.0014010612047332949,0.030911181029033927,0.49157645257547977,0.4840137379204724,0.1770186335403725,1.679308831699793,0.10158298107038176,0.5885093167701863,phase2_extinction,phase2_ext_roi,0.03350236446533572,0.07283358232978467,102,0.29843058829264374,2.4434389140271495,Q4_precision_dispersion,4,within_cue_dispersion,Whether safety patterns are more variable around their prototype than background patterns.,SAD higher than HC,False,False
