cue,Group,trial,mean,sem,sd,n
CSR,HC,1,0.035476541812470806,0.02325535414033358,0.12305576741211782,28
CSR,HC,2,0.10102143547354901,0.05266001549498056,0.278650610073053,28
CSR,HC,3,0.05230452728530819,0.025564877929192455,0.13527661859673434,28
CSR,HC,4,0.06441619832214017,0.019759091164673066,0.10455528270875707,28
CSR,HC,5,0.04638123113622616,0.0215594410325601,0.11408183875543122,28
CSR,HC,6,0.04525140375133296,0.01726204229708611,0.091342142078336,28
CSR,HC,7,0.07337898862348523,0.026840305586584956,0.1420255473901628,28
CSR,HC,8,-0.09876069783959375,0.10515911704235198,0.5564497435703948,28
CSR,SAD,1,0.03269206016965021,0.02310217574680634,0.10835880920903107,22
CSR,SAD,2,0.0393169065416207,0.01916735864601401,0.08990288106745198,22
CSR,SAD,3,0.05268629960062901,0.016646611683125683,0.07807952978619354,22
CSR,SAD,4,0.06005981428324429,0.014699916607124816,0.0689487205221484,22
CSR,SAD,5,0.048331199693879785,0.024321916793057608,0.11407990183527156,22
CSR,SAD,6,0.05566690149115066,0.022837071610922237,0.10711536059208589,22
CSR,SAD,7,0.08199629859734703,0.029440178164836725,0.1380866756363598,22
CSR,SAD,8,0.01585685222212746,0.01966418663475509,0.09223321089576453,22
CSS,HC,1,0.026654974307888508,0.01889583961472466,0.099987384868648,28
CSS,HC,2,0.04429531746009814,0.016084755130335252,0.0851125239484748,28
CSS,HC,3,0.039255905625111005,0.02284569550262778,0.12088805765651976,28
CSS,HC,4,0.06336386849454848,0.02148638061578167,0.11369523936847432,28
CSS,HC,5,-0.004258351026677247,0.017485656244040387,0.0925253958649892,28
CSS,HC,6,0.049688360869441936,0.02606086078776698,0.13790111319341253,28
CSS,HC,7,0.07830224984592438,0.0275031952208478,0.1455332296280469,28
CSS,HC,8,0.052944847454042106,0.03406239072758957,0.18024122985102892,28
CSS,SAD,1,0.021018715186682038,0.019767769604857186,0.09271905809118072,22
CSS,SAD,2,0.05802291533703656,0.015905802219728704,0.07460482540405,22
CSS,SAD,3,0.020105294883756966,0.01964258893826936,0.09213190871979199,22
CSS,SAD,4,0.08407624496521272,0.025176229121772215,0.11808698184568599,22
CSS,SAD,5,0.024330982261481993,0.013318537529197266,0.06246947832474667,22
CSS,SAD,6,0.05207063649175881,0.024472016054143546,0.11478392977500687,22
CSS,SAD,7,0.09147243822853342,0.0212551317373772,0.09969540487811718,22
CSS,SAD,8,0.00914208169938837,0.05012459204484299,0.2351051764818517,22
