contrast,window,trial,SAD_minus_HC_d,t,p,SAD_mean,HC_mean,SAD_n,HC_n
SAD-HC,trial_1,1.0,-0.43746715850331563,-1.5403384067855195,0.13045661146722845,-0.09031646277174307,0.0037318553768261966,23,28
SAD-HC,trial_2,2.0,0.43746715850331547,1.540338406785519,0.1304566114672286,0.09031646277174307,-0.0037318553768261897,23,28
SAD-HC,trial_3,3.0,-0.15961107210600436,-0.5602210470790236,0.5781455785076074,0.6897537913353615,0.7270566064537113,23,28
SAD-HC,trial_4,4.0,-0.2131496289913845,-0.7669042068012191,0.4468389797162793,0.7596820381505224,0.8080781486587657,23,28
SAD-HC,trial_5,5.0,0.1734257007519594,0.63193291421354,0.5303770672108042,0.7792400006471654,0.7391464953617926,23,28
SAD-HC,trial_6,6.0,0.596867791080289,2.0928951079362568,0.042140039925056404,0.8003592871484169,0.6575495255698068,23,28
SAD-HC,trial_7,7.0,-0.06611686577412534,-0.22703488157182752,0.8216061934378894,0.6873358851097177,0.7050704565938518,23,28
SAD-HC,trial_8,8.0,-0.23750829479662205,-0.7761602766006922,0.4448567419324033,0.6287228520084569,0.7471323345526125,23,28
SAD-HC,mid_3_6,,0.17559633658990906,0.6308362379147395,0.5311034571408695,0.7572587793203666,0.7329576940110192,23,28
SAD-HC,late_5_8,,0.06381157648259833,0.21792431850205418,0.8286976027189054,0.7239145062284392,0.712224703019516,23,28
SAD-HC,analysis_3_8,,-0.04391601514971905,-0.15130550915263244,0.8805103841196738,0.7241823090666067,0.7306722611984237,23,28
