n_SAD,n_HC,mean_SAD,mean_HC,diff_SAD_minus_HC,cohens_d_SAD_minus_HC,p,index,trial,q_within_index
22,28,-1.01478219128928,-1.0368550147283648,0.022072823439084788,0.2706990264181818,0.327563163094604,CSR_ext_earlyReinstCSR_distance_inverted,1,0.8397684273439919
22,28,-0.9804302700725995,-1.0015888181167998,0.021158548044200254,0.2619313894754537,0.3605241955693069,CSR_ext_earlyReinstCSR_distance_inverted,2,0.8397684273439919
22,28,-0.9829207232939589,-0.9788625107716192,-0.0040582125223396215,-0.05488094841222283,0.8397684273439919,CSR_ext_earlyReinstCSR_distance_inverted,3,0.8397684273439919
22,28,-0.9879707935878655,-0.9990602158300376,0.01108942224217202,0.14519137331307747,0.5972625917150525,CSR_ext_earlyReinstCSR_distance_inverted,4,0.8397684273439919
22,28,-0.9817300600852298,-0.9885521524544545,0.006822092369224708,0.08938094035245134,0.7447817399297781,CSR_ext_earlyReinstCSR_distance_inverted,5,0.8397684273439919
22,28,-0.9921791165748693,-1.0131861587625122,0.02100704218764282,0.25428064132544825,0.36638684345771655,CSR_ext_earlyReinstCSR_distance_inverted,6,0.8397684273439919
22,28,-0.9541817561646639,-0.965147252889329,0.01096549672466507,0.09823064726164117,0.732140914171178,CSR_ext_earlyReinstCSR_distance_inverted,7,0.8397684273439919
22,28,-1.0512512748055354,-1.0611253590441638,0.009874084238628456,0.09694883974742866,0.727723738338816,CSR_ext_earlyReinstCSR_distance_inverted,8,0.8397684273439919
22,28,0.1179363795379209,0.12781690952977215,-0.009880529991851253,-0.06233811486344664,0.8210887457010297,CSR_ext_earlyReinstCSR_proximity,1,0.9998075031083012
22,28,0.1659887814696899,0.1660003448648693,-1.1563395179409186e-05,-6.810780929052448e-05,0.9998075031083012,CSR_ext_earlyReinstCSR_proximity,2,0.9998075031083012
22,28,0.12174540888416006,0.14915642901821236,-0.02741102013405229,-0.17951004617243718,0.5209678235088608,CSR_ext_earlyReinstCSR_proximity,3,0.9998075031083012
22,28,0.1884944980130805,0.1786934267124475,0.009801071300632985,0.08079851994500503,0.7686089840988248,CSR_ext_earlyReinstCSR_proximity,4,0.9998075031083012
22,28,0.13250967216337187,0.13575644336505427,-0.0032467712016824024,-0.023718047606867087,0.93444002299874,CSR_ext_earlyReinstCSR_proximity,5,0.9998075031083012
22,28,0.11420137684878805,0.13114483260649965,-0.016943455757711598,-0.10836927628897088,0.7050094899799431,CSR_ext_earlyReinstCSR_proximity,6,0.9998075031083012
22,28,0.2127293712943249,0.16007769662817353,0.052651674666151366,0.2621907876650467,0.3665070466224748,CSR_ext_earlyReinstCSR_proximity,7,0.9998075031083012
22,28,0.08661804191041328,0.11387069877910223,-0.027252656868688954,-0.1525106284369859,0.5747801367986642,CSR_ext_earlyReinstCSR_proximity,8,0.9998075031083012
