n_SAD,n_HC,mean_SAD,mean_HC,diff_SAD_minus_HC,cohens_d_SAD_minus_HC,p,phase,index,trial,analysis,q_within_index
23,28,-1.1267980716827672,-1.115488944426808,-0.01130912725595934,-0.08381555278163466,0.7543114379933433,phase2_extinction,CSR_cue_threat_distance_inverted,1,trial_specific_group_difference,0.9425725639488217
23,28,-1.097817440381306,-1.1179825346275645,0.020165094246258564,0.1355798561948936,0.6202082259464872,phase2_extinction,CSR_cue_threat_distance_inverted,2,trial_specific_group_difference,0.9425725639488217
23,28,-1.0799218482575363,-1.0982921187414914,0.01837027048395501,0.1474897027174408,0.5915924992563253,phase2_extinction,CSR_cue_threat_distance_inverted,3,trial_specific_group_difference,0.9425725639488217
23,28,-1.1083689727482717,-1.0997731370707589,-0.008595835677512875,-0.06324533587849619,0.8161640194064288,phase2_extinction,CSR_cue_threat_distance_inverted,4,trial_specific_group_difference,0.9425725639488217
23,28,-1.1102707262137301,-1.1098832027618473,-0.0003875234518828652,-0.0030458839902580037,0.9914681504313836,phase2_extinction,CSR_cue_threat_distance_inverted,5,trial_specific_group_difference,0.9914681504313836
23,28,-1.125449958796732,-1.10539812219929,-0.02005183659744203,-0.1663693262930839,0.5404854187634579,phase2_extinction,CSR_cue_threat_distance_inverted,6,trial_specific_group_difference,0.9425725639488217
23,28,-1.123873946016774,-1.1317228208405827,0.007848874823808805,0.06097490001706058,0.824750993455219,phase2_extinction,CSR_cue_threat_distance_inverted,7,trial_specific_group_difference,0.9425725639488217
23,28,-1.1061977428441043,-1.171701790086129,0.06550404724202474,0.4610662181422615,0.09241951364182575,phase2_extinction,CSR_cue_threat_distance_inverted,8,trial_specific_group_difference,0.739356109134606
23,28,0.009913791009325653,0.04918297983132889,-0.03926918882200324,-0.17045096344771604,0.5229824976396593,phase2_extinction,CSR_cue_threat_proximity,1,trial_specific_group_difference,0.9752759722652676
23,28,0.04470023594684955,0.049606628354104655,-0.004906392407255107,-0.026162562205284255,0.9228957964502282,phase2_extinction,CSR_cue_threat_proximity,2,trial_specific_group_difference,0.9752759722652676
23,28,0.027903870116969088,0.029726821048340367,-0.001822950931371279,-0.008377358674851206,0.9752759722652676,phase2_extinction,CSR_cue_threat_proximity,3,trial_specific_group_difference,0.9752759722652676
23,28,0.0666499148892795,0.07798050547172597,-0.011330590582446468,-0.05362954031176008,0.8427375996753101,phase2_extinction,CSR_cue_threat_proximity,4,trial_specific_group_difference,0.9752759722652676
23,28,0.012201419910221518,0.014425393057661528,-0.0022239731474400105,-0.012208095567195185,0.9658220117438601,phase2_extinction,CSR_cue_threat_proximity,5,trial_specific_group_difference,0.9752759722652676
23,28,-0.014570285688927287,0.038932869169721766,-0.05350315485864905,-0.2756902431612554,0.3214224828430922,phase2_extinction,CSR_cue_threat_proximity,6,trial_specific_group_difference,0.9752759722652676
23,28,0.042726445509103324,-0.006497871323080477,0.0492243168321838,0.20831504942469006,0.45189806495033014,phase2_extinction,CSR_cue_threat_proximity,7,trial_specific_group_difference,0.9752759722652676
23,28,0.034543231588849366,0.003294267737136871,0.031248963851712493,0.1766594551686384,0.5315849565833071,phase2_extinction,CSR_cue_threat_proximity,8,trial_specific_group_difference,0.9752759722652676
23,28,-1.132763346570621,-1.1450237247457693,0.012260378175148245,0.09644495863629259,0.7240089434293965,phase2_extinction,CSS_safety_distance_inverted,1,trial_specific_group_difference,0.8274387924907388
23,28,-1.088114936179229,-1.111128443398667,0.023013507219437956,0.18818028962237743,0.4922472523213205,phase2_extinction,CSS_safety_distance_inverted,2,trial_specific_group_difference,0.6563296697617607
23,28,-1.128288674096184,-1.1280852056683883,-0.0002034684277956167,-0.001562840545618907,0.995458043966143,phase2_extinction,CSS_safety_distance_inverted,3,trial_specific_group_difference,0.995458043966143
23,28,-1.1124663540373414,-1.0585592516068347,-0.05390710243050667,-0.4513606096195479,0.10503936081278709,phase2_extinction,CSS_safety_distance_inverted,4,trial_specific_group_difference,0.5919336733126809
23,28,-1.106548134034942,-1.0619620665484986,-0.04458606748644334,-0.4061601937218468,0.14798341832817022,phase2_extinction,CSS_safety_distance_inverted,5,trial_specific_group_difference,0.5919336733126809
23,28,-1.1330624731620802,-1.167765683135525,0.03470320997344478,0.24917917833621928,0.37928337946694846,phase2_extinction,CSS_safety_distance_inverted,6,trial_specific_group_difference,0.6133352964851102
23,28,-1.166492235829479,-1.135232653568457,-0.03125958226102199,-0.26059501021675385,0.361867762281202,phase2_extinction,CSS_safety_distance_inverted,7,trial_specific_group_difference,0.6133352964851102
23,28,-1.1629199769447105,-1.1246360847921582,-0.038283892152552346,-0.2561259263904795,0.3833345603031939,phase2_extinction,CSS_safety_distance_inverted,8,trial_specific_group_difference,0.6133352964851102
23,28,0.0456672777551755,0.005270924951734368,0.04039635280344113,0.19119880260845423,0.48126413630507336,phase2_extinction,CSS_safety_proximity,1,trial_specific_group_difference,0.943924331016877
23,28,0.08156147626984227,0.051251887231769495,0.030309589038072772,0.1444706267602092,0.5899527068855481,phase2_extinction,CSS_safety_proximity,2,trial_specific_group_difference,0.943924331016877
23,28,0.010434592631660964,0.026877884537304508,-0.016443291905643545,-0.07469243569238049,0.7849104197084615,phase2_extinction,CSS_safety_proximity,3,trial_specific_group_difference,0.9668855501359559
23,28,0.01692049401765645,0.15277382050007496,-0.13585332648241852,-0.7375451036915063,0.010784490996635187,phase2_extinction,CSS_safety_proximity,4,trial_specific_group_difference,0.060817898859689405
23,28,0.011196087881793684,0.11293668659923464,-0.10174059871744096,-0.6809876956912176,0.015204474714922351,phase2_extinction,CSS_safety_proximity,5,trial_specific_group_difference,0.060817898859689405
23,28,-0.03045090787850634,-0.024679458480787057,-0.0057714493977192825,-0.025801731777510786,0.9258489774577174,phase2_extinction,CSS_safety_proximity,6,trial_specific_group_difference,0.9668855501359559
23,28,-0.04743989379473214,-0.004060987570305563,-0.043378906224426576,-0.19964476027561215,0.4695429141959775,phase2_extinction,CSS_safety_proximity,7,trial_specific_group_difference,0.943924331016877
23,28,0.022770540241233584,0.020377103767142555,0.002393436474091029,0.01188361495162176,0.9668855501359559,phase2_extinction,CSS_safety_proximity,8,trial_specific_group_difference,0.9668855501359559
22,28,-0.09637388217396023,-0.11575081131506529,0.01937692914110506,0.3725153293545194,0.17277760854365803,phase3_reinstatement,CSR_cue_threat_distance_inverted,1,trial_specific_group_difference,0.7080209902463683
22,28,-0.12094150549212998,-0.12562589937352156,0.00468439388139158,0.07326735395626266,0.7936427190486037,phase3_reinstatement,CSR_cue_threat_distance_inverted,2,trial_specific_group_difference,0.8219556073080474
22,28,-0.11079785622157368,-0.12228898411379349,0.011491127892219816,0.16097803493765608,0.5508127425867013,phase3_reinstatement,CSR_cue_threat_distance_inverted,3,trial_specific_group_difference,0.8219556073080474
22,28,-0.12679465580520494,-0.10150718886422594,-0.025287466940978998,-0.40925475169240505,0.17700524756159208,phase3_reinstatement,CSR_cue_threat_distance_inverted,4,trial_specific_group_difference,0.7080209902463683
22,28,-0.12110821774367989,-0.14412518599716637,0.02301696825348648,0.2543730961173811,0.33948836047507525,phase3_reinstatement,CSR_cue_threat_distance_inverted,5,trial_specific_group_difference,0.8219556073080474
22,28,-0.12382027565165038,-0.11930920838557202,-0.004511067266078361,-0.07497115427826583,0.7903419146783305,phase3_reinstatement,CSR_cue_threat_distance_inverted,6,trial_specific_group_difference,0.8219556073080474
22,28,-0.14366446809130753,-0.1370499235413048,-0.006614544550002738,-0.06504224838228463,0.8219556073080474,phase3_reinstatement,CSR_cue_threat_distance_inverted,7,trial_specific_group_difference,0.8219556073080474
22,28,-0.14262900759887734,-0.12768784459597934,-0.014941163002897995,-0.19050492745987352,0.5102173087731178,phase3_reinstatement,CSR_cue_threat_distance_inverted,8,trial_specific_group_difference,0.8219556073080474
22,28,0.003117926221058999,0.009469608916889463,-0.0063516826958304635,-0.13008314714805305,0.6141780834004084,phase3_reinstatement,CSR_cue_threat_proximity,1,trial_specific_group_difference,0.7181903757952367
22,28,-0.0019218445063078808,0.012430300724060926,-0.014352145230368808,-0.3403623945631953,0.19551248823979628,phase3_reinstatement,CSR_cue_threat_proximity,2,trial_specific_group_difference,0.6961573638742613
