cue,Group,trial,mean_congruent,sem_congruent,mean_safety_minus_threat,sem_safety_minus_threat,n
CSR,HC,1,-0.6204850830741993,0.046363501740276813,0.6204850830741993,0.046363501740276813,28
CSR,HC,2,-0.5937149971581432,0.04688924750973368,0.5937149971581432,0.04688924750973368,28
CSR,HC,3,-0.5987260447192115,0.0412716014040588,0.5987260447192115,0.0412716014040588,28
CSR,HC,4,-0.619574882578032,0.036607170094365586,0.619574882578032,0.036607170094365586,28
CSR,HC,5,-0.6295360832438222,0.04380851525264926,0.6295360832438222,0.04380851525264926,28
CSR,HC,6,-0.6194442230218554,0.039402991178488125,0.6194442230218554,0.039402991178488125,28
CSR,HC,7,-0.6163120703164154,0.03960263185679277,0.6163120703164154,0.03960263185679277,28
CSR,HC,8,-0.6241629773299715,0.04957457451332098,0.6241629773299715,0.04957457451332098,28
CSR,SAD,1,-0.6516948939025679,0.0550261068534009,0.6516948939025679,0.0550261068534009,22
CSR,SAD,2,-0.6124917221624963,0.05699383579627823,0.6124917221624963,0.05699383579627823,22
CSR,SAD,3,-0.6620363515274352,0.04583392640637149,0.6620363515274352,0.04583392640637149,22
CSR,SAD,4,-0.6527544858514247,0.045136602778276025,0.6527544858514247,0.045136602778276025,22
CSR,SAD,5,-0.619675012394801,0.04874738234800779,0.619675012394801,0.04874738234800779,22
CSR,SAD,6,-0.6483059888990654,0.04254405892264672,0.6483059888990654,0.04254405892264672,22
CSR,SAD,7,-0.5837062127652588,0.049754676957086096,0.5837062127652588,0.049754676957086096,22
CSR,SAD,8,-0.6575737316348178,0.04361391241578784,0.6575737316348178,0.04361391241578784,22
CSS,HC,1,0.6415404586657784,0.040407187656337835,0.6415404586657784,0.040407187656337835,28
CSS,HC,2,0.6402461573442061,0.032952444579041555,0.6402461573442061,0.032952444579041555,28
CSS,HC,3,0.6436710928828564,0.03753367099868821,0.6436710928828564,0.03753367099868821,28
CSS,HC,4,0.623296761910677,0.04079969800471369,0.623296761910677,0.04079969800471369,28
CSS,HC,5,0.6705829761950748,0.03183166078063559,0.6705829761950748,0.03183166078063559,28
CSS,HC,6,0.6164708458180413,0.03886641489106144,0.6164708458180413,0.03886641489106144,28
CSS,HC,7,0.5966057249963947,0.039524447972649576,0.5966057249963947,0.039524447972649576,28
CSS,HC,8,0.6206518104600953,0.04985287850547321,0.6206518104600953,0.04985287850547321,28
CSS,SAD,1,0.627426412388643,0.04719268166363657,0.627426412388643,0.04719268166363657,22
CSS,SAD,2,0.658501419343319,0.040905740486492405,0.658501419343319,0.040905740486492405,22
CSS,SAD,3,0.6665426356266974,0.048942225430205794,0.6665426356266974,0.048942225430205794,22
CSS,SAD,4,0.6154965136842477,0.05368363624129977,0.6154965136842477,0.05368363624129977,22
CSS,SAD,5,0.6779428517003452,0.04739862041677197,0.6779428517003452,0.04739862041677197,22
CSS,SAD,6,0.6444634639682179,0.05263479841161599,0.6444634639682179,0.05263479841161599,22
CSS,SAD,7,0.6148443559702483,0.054005321236951835,0.6148443559702483,0.054005321236951835,22
CSS,SAD,8,0.622132419836635,0.056428152120152515,0.622132419836635,0.056428152120152515,22
