cue,contrast,window,trial,SAD_minus_HC_d,t,p,SAD_mean,HC_mean,SAD_n,HC_n
CSR,SAD-HC,trial_1,1.0,-0.02382882151020748,-0.08494478061976335,0.9326636239593322,0.03269206016965022,0.03547654181247081,22,28
CSR,SAD-HC,trial_2,2.0,-0.28398180082071883,-1.101083035241907,0.27862571116356194,0.0393169065416207,0.10102143547354901,22,28
CSR,SAD-HC,trial_3,3.0,0.003353424758401505,0.01251428244975847,0.9900712820090731,0.052686299600629025,0.052304527285308176,22,28
CSR,SAD-HC,trial_4,4.0,-0.048023415526798015,-0.17689169779275102,0.8603576504075241,0.06005981428324429,0.06441619832214017,22,28
CSR,SAD-HC,trial_5,5.0,0.017092843728479395,0.05999576278157108,0.9524232525265044,0.048331199693879785,0.04638123113622615,22,28
CSR,SAD-HC,trial_6,6.0,0.10568311130815765,0.3638336934242613,0.717835849369017,0.05566690149115066,0.04525140375133295,22,28
CSR,SAD-HC,trial_7,7.0,0.06141363995180617,0.2163047214569577,0.8297106761993174,0.08199629859734704,0.07337898862348521,22,28
CSR,SAD-HC,trial_8,8.0,0.2717519298178276,1.0713736069697342,0.2928748126522612,0.015856852222127463,-0.09876069783959374,22,28
CSR,SAD-HC,early_1_2,,-0.2523267153394415,-0.9474944636123116,0.3486749737875836,0.03600448335563546,0.0682489886430099,22,28
CSR,SAD-HC,mid_3_6,,0.030943576038282388,0.11384952846202975,0.9098431174779201,0.05418605376722594,0.05208834012375186,22,28
CSR,SAD-HC,late_5_8,,0.3076747261308858,1.1682763643946756,0.24959285373667267,0.05046281300112623,0.016562731417862648,22,28
CSR,SAD-HC,all_1_8,,0.10700581071509085,0.40589585659990174,0.6869611427238266,0.04832579157495613,0.039933703570614834,22,28
CSR,SAD-HC,analysis_3_8,,0.2517342579179719,0.956224646955512,0.3447023012676208,0.05243289431472971,0.030495275213149823,22,28
CSS,SAD-HC,trial_1,1.0,-0.05818096979675087,-0.20610719263472013,0.8376044473640345,0.021018715186682038,0.02665497430788851,22,28
CSS,SAD-HC,trial_2,2.0,0.17014034785726515,0.6068494256924698,0.5468481923856646,0.05802291533703657,0.04429531746009814,22,28
CSS,SAD-HC,trial_3,3.0,-0.17530341741720246,-0.6356203613116682,0.5280447196515292,0.020105294883756973,0.039255905625111,22,28
CSS,SAD-HC,trial_4,4.0,0.1791152423437046,0.6257809525217393,0.534661785647789,0.08407624496521272,0.06336386849454846,22,28
CSS,SAD-HC,trial_5,5.0,0.3539854021176731,1.3006825034869736,0.199701351898088,0.02433098226148199,-0.004258351026677247,22,28
CSS,SAD-HC,trial_6,6.0,0.018567880268496446,0.0666374574504856,0.9471482004862936,0.052070636491758804,0.04968836086944194,22,28
CSS,SAD-HC,trial_7,7.0,0.10327703304507746,0.3788972262666786,0.7064624294473252,0.09147243822853342,0.07830224984592436,22,28
CSS,SAD-HC,trial_8,8.0,-0.2125835665634995,-0.7227823735015869,0.4741828989200412,0.00914208169938837,0.05294484745404209,22,28
CSS,SAD-HC,early_1_2,,0.05754909588640802,0.2111322146071196,0.8336925646808093,0.0395208152618593,0.03547514588399332,22,28
CSS,SAD-HC,mid_3_6,,0.11850904904003866,0.4461753434883068,0.6577409042870916,0.04514578965055263,0.03701244599060604,22,28
CSS,SAD-HC,late_5_8,,0.001000062660350798,0.0035655249300637674,0.9971701119572826,0.04425403467029065,0.04416927678568278,22,28
CSS,SAD-HC,all_1_8,,0.019530087963499795,0.07220923747810275,0.9427471077481514,0.04502991363173136,0.04378089662879715,22,28
CSS,SAD-HC,analysis_3_8,,0.004454512643829936,0.016375290859186164,0.9870043113629325,0.04686627975502205,0.046549480210398446,22,28
