index,time_form,n_subjects,n_trials,r2,aic,"C(Group, Treatment(reference='HC'))[T.SAD]:trial_c_beta","C(Group, Treatment(reference='HC'))[T.SAD]:trial_c_p",min_group_time_p,"C(Group, Treatment(reference='HC'))[T.SAD]:trial_c2_beta","C(Group, Treatment(reference='HC'))[T.SAD]:trial_c2_p","C(Group, Treatment(reference='HC'))[T.SAD]:C(late, Treatment(reference='early'))[T.late]_beta","C(Group, Treatment(reference='HC'))[T.SAD]:C(late, Treatment(reference='early'))[T.late]_p",q_within_time_form
CSR_ext_distance_from_safety,linear,50,400,0.003944278830457892,-486.20691857097097,0.006150857196630035,0.7034173997427792,0.7034173997427792,,,,,0.8151695922435167
CSR_ext_distance_from_safety,quadratic,50,400,0.00709482396944161,-483.47413213095126,0.006150857196629831,0.7041318896552738,0.6024915138623229,-0.006948393938506895,0.6024915138623229,,,0.6024915138623229
CSR_ext_distance_from_safety,early_late_bin,50,400,0.006250625288446776,-487.13418425969564,,,0.7589210630359833,,,0.008576174685366852,0.7589210630359833,0.7589210630359833
CSR_ext_shock_distance_inverted,linear,50,400,0.009310227657048142,-1025.4495894114025,-0.010209998786471499,0.06639100962608706,0.06639100962608706,,,,,0.1991730288782612
CSR_ext_shock_distance_inverted,quadratic,50,400,0.018058315369900546,-1024.9973965931867,-0.010209998786471492,0.06708071353150899,0.04356097556906265,-0.013034342543151832,0.04356097556906265,,,0.13068292670718798
CSR_ext_shock_distance_inverted,early_late_bin,50,400,0.008301509196023682,-1025.0425173693266,,,0.07543682562870929,,,-0.019833425021952688,0.07543682562870929,0.22631047688612788
CSR_ext_shock_proximity,linear,50,400,0.0019812942647683407,-378.41473714522533,-0.0040591415898414895,0.8151695922435167,0.8151695922435167,,,,,0.8151695922435167
CSR_ext_shock_proximity,quadratic,50,400,0.009265068536416066,-377.34473579495364,-0.004059141589841466,0.8156285075906482,0.15331190817899806,-0.01998273648165874,0.15331190817899806,,,0.2299678622684971
CSR_ext_shock_proximity,early_late_bin,50,400,0.0024673497364486874,-378.60959275937137,,,0.7147264266538725,,,-0.011257250336585731,0.7147264266538725,0.7589210630359833
