metric,analysis,n_SAD,n_HC,mean_SAD,mean_HC,diff_SAD_minus_HC,cohens_d_SAD_minus_HC,hedges_g_SAD_minus_HC,rank_biserial_SAD_vs_HC,t,p,scalar_auc_abs_direction,phase,feature_space,all_subjects_adjusted_group_beta,all_subjects_adjusted_group_p,all_subjects_adjusted_model_n,q_within_phase_feature,rank_score
Neural_Certainty_CSR,placebo_SAD_vs_HC,22,28,0.37776467494006666,0.22513250092059953,0.15263217401946713,0.8404696090297044,0.8272685156941593,0.4870129870129871,2.90288913737501,0.005864338541307039,0.7435064935064936,phase3_reinstatement,phase3_reinst_roi,0.1546662257888793,0.004928014093725047,100,0.34406412087201915,2.9976562500000004
Neural_ThreatEvidenceCertainty,placebo_SAD_vs_HC,22,28,0.37776467494006666,0.22513250092059953,0.15263217401946713,0.8404696090297044,0.8272685156941593,0.4870129870129871,2.90288913737501,0.005864338541307039,0.7435064935064936,phase3_reinstatement,phase3_reinst_roi,0.1546662257888793,0.004928014093725047,100,0.34406412087201915,2.9976562500000004
Neural_PrototypeEvidenceCertainty,placebo_SAD_vs_HC,22,28,0.3473147522649009,0.22269013587385808,0.1246246163910428,0.833913831521961,0.8208157085137626,0.3928571428571428,2.8094578695960455,0.00793994125089275,0.6964285714285714,phase3_reinstatement,phase3_reinst_roi,0.12635185399820237,0.0037772477772329647,100,0.34406412087201915,2.984375
Neural_CV_Dist_Safety_Background,placebo_SAD_vs_HC,22,28,1.1802098531496288,1.2386274172779324,-0.05841756412830357,-0.7428737767221175,-0.7312056022186287,-0.41233766233766234,-2.6501843760474686,0.010900671907578713,0.7061688311688312,phase3_reinstatement,phase3_reinst_schaefer_tian,-0.05921497404174781,0.020521718084410636,100,0.7895165518936478,2.984375
Neural_ResidualizedShockAxis_CSR_Projection,placebo_SAD_vs_HC,22,28,-0.00018203202515778736,0.1536487035432014,-0.1538307355683592,-0.7434291984644318,-0.7317523000592313,-0.39610389610389607,-2.534747810501086,0.015361515067620672,0.698051948051948,phase3_reinstatement,phase3_reinst_roi,-0.16063810835453146,0.007103470086770991,100,0.4422759593713081,2.978125
Neural_BoundaryCertainty,placebo_SAD_vs_HC,22,28,0.3241361221655515,0.19853685573243454,0.12559926643311695,0.7430637155070857,0.7313925576718959,0.36363636363636376,2.5018343285935685,0.01701061382197339,0.6818181818181819,phase3_reinstatement,phase3_reinst_roi,0.1297847512457476,0.007276736726753416,100,0.4422759593713081,2.9664062500000004
Neural_TrialwiseEvidenceCertainty,placebo_SAD_vs_HC,23,28,0.2900270300886655,0.3280266265162801,-0.037999596427614635,-0.7054113344965176,-0.6945588524273405,-0.36024844720496896,-2.5896930830016176,0.012670963874488062,0.6801242236024845,phase2_extinction,phase2_ext_schaefer_tian,-0.04565744577364771,0.003379982899340462,102,0.39892710226755734,2.9609375
Neural_PrototypeEvidenceEntropy,placebo_SAD_vs_HC,22,28,0.8754636406489862,0.944302661813718,-0.06883902116473184,-0.713341612972476,-0.7021372944441125,-0.36363636363636365,-2.2966006389452884,0.029697712783351735,0.6818181818181819,phase3_reinstatement,phase3_reinst_roi,-0.06941081002515578,0.006109969538276155,100,0.551528951690818,2.95390625
Neural_PrototypeDynamicDiscrimination_Volatility,placebo_SAD_vs_HC,23,28,0.33043690056558744,0.44254398431099146,-0.11210708374540401,-0.6734327003886046,-0.663072197305703,-0.3633540372670808,-2.4526299853298608,0.01779832034839672,0.6816770186335404,phase2_extinction,phase2_ext_roi,-0.1216320696401812,0.005084912379409361,102,0.4780577972283186,2.953125
Neural_DynamicDiscrimination_Volatility,placebo_SAD_vs_HC,23,28,0.6272045862492744,0.7633509948666317,-0.13614640861735727,-0.6342352045657956,-0.6244777398801681,-0.39130434782608703,-2.2986234384945137,0.025831647259246932,0.6956521739130435,phase2_extinction,phase2_ext_roi,-0.12480737641571038,0.04637242366636999,102,0.4780577972283186,2.953125
