n_SAD,n_HC,mean_SAD,mean_HC,diff_SAD_minus_HC,cohens_d_SAD_minus_HC,p,phase,index,window,analysis,q_within_index
23,28,-1.1123077560320365,-1.1167357395271862,0.004427983495149723,0.037076737055728885,0.8904373733642501,phase2_extinction,CSR_cue_threat_distance_inverted,early_1_2,time_window_group_difference,0.9146696366645904
23,28,-1.1060028765040675,-1.1033366451933468,-0.002666231310720635,-0.028751712711680536,0.9146696366645904,phase2_extinction,CSR_cue_threat_distance_inverted,mid_3_6,time_window_group_difference,0.9146696366645904
23,28,-1.1150358444304391,-1.151712305463356,0.036676461032916885,0.33800732062658756,0.22207708433681148,phase2_extinction,CSR_cue_threat_distance_inverted,late_7_8,time_window_group_difference,0.6662312530104345
23,28,0.027307013478087602,0.04939480409271677,-0.02208779061462917,-0.1305179945257053,0.6250853902526371,phase2_extinction,CSR_cue_threat_proximity,early_1_2,time_window_group_difference,0.6380230774219736
23,28,0.023046229806885702,0.04026639718686241,-0.017220167379976708,-0.12428020234585066,0.6380230774219736,phase2_extinction,CSR_cue_threat_proximity,mid_3_6,time_window_group_difference,0.6380230774219736
23,28,0.03863483854897634,-0.0016018017929718062,0.04023664034194815,0.2452914468526036,0.38133163323921315,phase2_extinction,CSR_cue_threat_proximity,late_7_8,time_window_group_difference,0.6380230774219736
23,28,-1.110439141374925,-1.1280760840722182,0.0176369426972931,0.16256147371980784,0.549475361557862,phase2_extinction,CSS_safety_distance_inverted,early_1_2,time_window_group_difference,0.549475361557862
23,28,-1.120091408832637,-1.1040930517398118,-0.015998357092825266,-0.2123308922372396,0.4461488651677453,phase2_extinction,CSS_safety_distance_inverted,mid_3_6,time_window_group_difference,0.549475361557862
23,28,-1.164706106387095,-1.1299343691803079,-0.03477173720678706,-0.42956815106104496,0.1384974170240834,phase2_extinction,CSS_safety_distance_inverted,late_7_8,time_window_group_difference,0.41549225107225024
23,28,0.06361437701250887,0.02826140609175193,0.03535297092075694,0.2010420087354603,0.44484289759527307,phase2_extinction,CSS_safety_proximity,early_1_2,time_window_group_difference,0.6260296850673803
23,28,0.0020250666631511866,0.06697723328895676,-0.06495216662580557,-0.59414018907823,0.0342587530613329,phase2_extinction,CSS_safety_proximity,mid_3_6,time_window_group_difference,0.1027762591839987
23,28,-0.012334676776749282,0.008158058098418488,-0.02049273487516777,-0.13579039665987439,0.6260296850673803,phase2_extinction,CSS_safety_proximity,late_7_8,time_window_group_difference,0.6260296850673803
22,28,-0.10865769383304512,-0.12068835534429342,0.012030661511248306,0.22993269087201254,0.40764505268734563,phase3_reinstatement,CSR_cue_threat_distance_inverted,early_1_2,time_window_group_difference,0.9428468032146016
22,28,-0.12063025135552721,-0.12180764184018945,0.0011773904846622413,0.01976815418899496,0.9428468032146016,phase3_reinstatement,CSR_cue_threat_distance_inverted,mid_3_6,time_window_group_difference,0.9428468032146016
22,28,-0.14314673784509244,-0.13236888406864206,-0.01077785377645038,-0.12614278409030324,0.661422221339463,phase3_reinstatement,CSR_cue_threat_distance_inverted,late_7_8,time_window_group_difference,0.9428468032146016
22,28,0.0005980408573755591,0.010949954820475196,-0.010351913963099637,-0.23394353474356983,0.3653662744096573,phase3_reinstatement,CSR_cue_threat_proximity,early_1_2,time_window_group_difference,0.548049411614486
22,28,-0.0006184286140306892,0.009389261698479942,-0.010007690312510632,-0.2509835799865222,0.3352028367807304,phase3_reinstatement,CSR_cue_threat_proximity,mid_3_6,time_window_group_difference,0.548049411614486
22,28,-0.0007273184541487762,0.005414981982994916,-0.006142300437143692,-0.1359311611988609,0.6016922921500414,phase3_reinstatement,CSR_cue_threat_proximity,late_7_8,time_window_group_difference,0.6016922921500414
22,28,-1.909997657142619,-1.8998056835471213,-0.010191973595497617,-0.23776572758720618,0.39271965421290267,phase3_reinstatement,CSR_shock_distance_inverted,early_1_2,time_window_group_difference,0.8170263472796025
22,28,-1.9003087455025034,-1.8972317105865046,-0.0030770349159987553,-0.06258928296941535,0.8198693902766012,phase3_reinstatement,CSR_shock_distance_inverted,mid_3_6,time_window_group_difference,0.8198693902766012
22,28,-1.8774383315125234,-1.8898344483934253,0.01239611688090192,0.17671643564186573,0.544684231519735,phase3_reinstatement,CSR_shock_distance_inverted,late_7_8,time_window_group_difference,0.8170263472796025
22,28,-1.800741922452198,-1.7681673733823526,-0.03257454906984547,-0.31067924671998737,0.25929065288787484,phase3_reinstatement,CSR_shock_proximity,early_1_2,time_window_group_difference,0.7056037154347023
22,28,-1.780296922761007,-1.7660348070478356,-0.014262115713171486,-0.12388963705959355,0.6484244884969792,phase3_reinstatement,CSR_shock_proximity,mid_3_6,time_window_group_difference,0.7056037154347023
22,28,-1.7350189121215798,-1.7520505823417882,0.01703167022020846,0.10885117329621334,0.7056037154347023,phase3_reinstatement,CSR_shock_proximity,late_7_8,time_window_group_difference,0.7056037154347023
22,28,-0.1176324129474723,-0.1258262442232176,0.008193831275745286,0.12088857739026455,0.660470093085717,phase3_reinstatement,CSS_safety_distance_inverted,early_1_2,time_window_group_difference,0.7517259310607731
22,28,-0.11606193767821246,-0.1272179154450333,0.01115597776682084,0.15630586024719112,0.5618851535137159,phase3_reinstatement,CSS_safety_distance_inverted,mid_3_6,time_window_group_difference,0.7517259310607731
22,28,-0.1607333337901111,-0.15114755733259302,-0.00958577645751807,-0.09172857891800637,0.7517259310607731,phase3_reinstatement,CSS_safety_distance_inverted,late_7_8,time_window_group_difference,0.7517259310607731
22,28,0.00022201524852455193,-0.016618277165666325,0.016840292414190876,0.38986156728567595,0.1375196935382748,phase3_reinstatement,CSS_safety_proximity,early_1_2,time_window_group_difference,0.23304540374641206
22,28,0.0025312488554166067,-0.011663127669946817,0.014194376525363425,0.3091536001115818,0.23304540374641206,phase3_reinstatement,CSS_safety_proximity,mid_3_6,time_window_group_difference,0.23304540374641206
22,28,0.0021851172806015297,-0.011176719882473915,0.013361837163075445,0.3164020420206275,0.2285472542585286,phase3_reinstatement,CSS_safety_proximity,late_7_8,time_window_group_difference,0.23304540374641206
