metric,cue,contrast,window,trial,SAD_minus_HC_d,t,p,SAD_mean,HC_mean,SAD_n,HC_n
target_congruent_forced_choice,CSR,SAD-HC,trial_1,1.0,-0.12434378307461152,-0.4337438367128964,0.6665885339037361,-0.6516948939025679,-0.6204850830741994,22,28
target_congruent_forced_choice,CSR,SAD-HC,trial_2,2.0,-0.07314771203639014,-0.25441645128821694,0.8003717380947365,-0.6124917221624963,-0.5937149971581432,22,28
target_congruent_forced_choice,CSR,SAD-HC,trial_3,3.0,-0.29188154713301817,-1.026476011238396,0.31008614940904233,-0.6620363515274352,-0.5987260447192115,22,28
target_congruent_forced_choice,CSR,SAD-HC,trial_4,4.0,-0.16443393183178123,-0.5709263401473998,0.5710090771012919,-0.6527544858514247,-0.619574882578032,22,28
target_congruent_forced_choice,CSR,SAD-HC,trial_5,5.0,0.042793750143481545,0.15045878706277147,0.8810673621027103,-0.619675012394801,-0.629536083243822,22,28
target_congruent_forced_choice,CSR,SAD-HC,trial_6,6.0,-0.14104170437252628,-0.49772077522031594,0.6210469467564279,-0.6483059888990655,-0.6194442230218554,22,28
target_congruent_forced_choice,CSR,SAD-HC,trial_7,7.0,0.14801169580541207,0.5127381359773744,0.6107765824468732,-0.5837062127652588,-0.6163120703164154,22,28
target_congruent_forced_choice,CSR,SAD-HC,trial_8,8.0,-0.13992233850973074,-0.5060022054224361,0.6151712447463458,-0.6575737316348179,-0.6241629773299715,22,28
target_congruent_forced_choice,CSS,SAD-HC,trial_1,1.0,-0.06499823668598187,-0.22717684927424092,0.8213271068220964,0.627426412388643,0.6415404586657784,22,28
target_congruent_forced_choice,CSS,SAD-HC,trial_2,2.0,0.10017719829306317,0.3475369209733384,0.7298829800043072,0.658501419343319,0.6402461573442061,22,28
target_congruent_forced_choice,CSS,SAD-HC,trial_3,3.0,0.10752708893252312,0.37082454821598854,0.7126437902518648,0.6665426356266975,0.6436710928828564,22,28
target_congruent_forced_choice,CSS,SAD-HC,trial_4,4.0,-0.03358051581641976,-0.11568246273948532,0.9084622033552108,0.6154965136842478,0.6232967619106768,22,28
target_congruent_forced_choice,CSS,SAD-HC,trial_5,5.0,0.03796446203760967,0.1289048937606937,0.8981096692188683,0.6779428517003451,0.6705829761950748,22,28
