Group,trial,mean,sem,sd,n
HC,1,0.0037318553768261984,0.03890196126804448,0.20584983005582524,28
HC,2,-0.0037318553768261875,0.03890196126804448,0.20584983005582524,28
HC,3,0.7270566064537113,0.04161593948404063,0.22021085290217038,28
HC,4,0.8080781486587657,0.045211443414184475,0.23923647137640228,28
HC,5,0.7391464953617927,0.04825147272962867,0.2553227944704248,28
HC,6,0.657549525569807,0.04238716366991929,0.22429178770399666,28
HC,7,0.7050704565938517,0.041853966971743456,0.22147037597748864,28
HC,8,0.7471323345526123,0.040118621129539324,0.21228778890316444,28
SAD,1,-0.09031646277174306,0.04705937559843721,0.22568883696239853,23
SAD,2,0.09031646277174306,0.04705937559843721,0.22568883696239853,23
SAD,3,0.6897537913353615,0.051978782947858994,0.24928148580477177,23
SAD,4,0.7596820381505224,0.04402577123087117,0.2111401815071662,23
SAD,5,0.7792400006471655,0.04119670046495514,0.19757243474630362,23
SAD,6,0.8003592871484169,0.05347347897362834,0.2564497961229266,23
SAD,7,0.6873358851097177,0.06595468851775904,0.3163075743037402,23
SAD,8,0.6287228520084568,0.14718848008702698,0.7058911526698503,23
