metric,n_tests,best_p,best_q,median_abs_d,max_abs_d,median_abs_g,max_abs_g,max_abs_rank_biserial,median_auc,best_rank_score
Neural_CV_Dist_Safety_Background,6,0.010900671907578713,0.33370196918536865,0.3403391012831907,0.7428737767221175,0.3351031151096032,0.7312056022186287,0.41233766233766234,0.578416149068323,2.995475113122172
Neural_ResidualizedShockAxis_CSR_Projection,2,0.015361515067620672,0.7759526161243904,0.5860619339454144,0.7434291984644318,0.5768567726792561,0.7317523000592313,0.39610389610389607,0.6542207792207793,2.986425339366516
Neural_TrialwiseEvidenceCertainty,6,0.0114249202328053,0.23384772722873248,0.38492606736604784,0.7054113344965176,0.37895464107269516,0.6945588524273405,0.36024844720496896,0.587591756070017,2.9728506787330318
Neural_DynamicDiscrimination_Volatility,6,0.01779832034839672,0.29843058829264374,0.16053151297538915,0.6734327003886046,0.15801007559881236,0.663072197305703,0.3633540372670808,0.5662055335968379,2.9638009049773757
Neural_PrototypeEvidenceCertainty,6,0.02287925480841014,0.23384772722873248,0.426121261776281,0.6426994395828035,0.4195202856821321,0.6328117558969143,0.3850931677018634,0.5744988706945229,2.9524886877828056
Neural_ResidualizedShockAxis_CSR_Cosine,2,0.02847348537795922,0.7759526161243904,0.5416366685392205,0.6769938846759627,0.5331292863108558,0.6663604728747695,0.3311688311688311,0.635551948051948,2.9524886877828056
Neural_ResidualizedShockAxis_CSRMinusCSS_Cosine,2,0.04106345509901695,0.7759526161243904,0.5149159153981719,0.5950803524992093,0.5068282308631221,0.5857335406798501,0.4058441558441559,0.661525974025974,2.9389140271493215
Neural_CV_VicariousDiscrimination,6,0.042187445545319106,0.4313604040214688,0.3347933813303837,0.601568706195485,0.3295905645963064,0.5921199830615245,0.3279220779220777,0.627540937323546,2.923076923076923
Neural_ResidualizedShockAxis_DiscriminationAUC,2,0.04332375966819135,0.7759526161243904,0.4781006451696892,0.5900638295024856,0.4705912109523643,0.5807958112380487,0.3896103896103895,0.6566558441558441,2.9219457013574663
Neural_ResidualizedShockAxis_CSRMinusCSS_Projection,2,0.043323759668191505,0.7759526161243904,0.47810064516968875,0.5900638295024849,0.4705912109523638,0.580795811238048,0.3896103896103895,0.6566558441558441,2.9174208144796383
Neural_PrototypeEvidenceEntropy,6,0.03209146138876259,0.23384772722873248,0.3930591535092085,0.6128969638388219,0.3869690813767209,0.6034677797797631,0.2919254658385093,0.5698404856013553,2.914027149321267
Neural_SafetyEvidenceCertainty,6,0.05108657693187146,0.23384772722873248,0.3625335095105153,0.5426896343684646,0.35691562370404584,0.5343405630704883,0.4161490683229814,0.6002258610954263,2.8936651583710407
Neural_RawNorm_ThreatMinusSafety,6,0.04320835761828204,0.23384772722873248,0.4196558016832136,0.5898269284164942,0.41314548487874336,0.5807526679793173,0.3074534161490682,0.5730166572557875,2.8914027149321266
Neural_Safety_Differentiation,6,0.0389890224141136,0.23384772722873248,0.2930772606419671,0.5984203285001198,0.28855686478725895,0.5892138619078103,0.2950310559006212,0.6007199322416714,2.8868778280542986
