phase,metric,summary,n_SAD,n_HC,mean_SAD,mean_HC,diff_SAD_minus_HC,cohens_d_SAD_minus_HC,hedges_g_SAD_minus_HC,t,p,q_within_phase_summary
phase2_extinction,CSR_CueThreatTarget_Proximity,auc_mean,23,28,0.028008577910208853,0.03208144916836744,-0.0040728712581585905,-0.03440267670480891,-0.03387340475550416,-0.13247473704559007,0.895390999720648,0.895390999720648
phase2_extinction,CSR_CueThreatTarget_Proximity,early_late_change,23,28,-0.01856675016079421,-0.03908556901601505,0.02051881885522084,0.15958782712983263,0.15713262978937367,0.5476298060369902,0.5871455589264782,0.8068897439574023
phase2_extinction,CSR_CueThreatTarget_Proximity,initial_final_change,23,28,0.0246294405795237,-0.04588871209419203,0.07051815267371572,0.25112252541656255,0.24725910194861545,0.9114810945851991,0.3665053765139924,0.7478128727676869
phase2_extinction,CSR_CueThreatTarget_Proximity,slope,23,28,-0.0002301646491525266,-0.007591433941609406,0.007361269292456879,0.22897488770929905,0.225452197129156,0.8102808386748118,0.4219258918879555,0.6578930402174715
phase2_extinction,CSR_to_CSminus_NonTarget_Distance,auc_mean,23,28,1.1378459162778618,1.1508617830126764,-0.013015866734814585,-0.22945543956781134,-0.2259253558821527,-0.8063300237904995,0.42432360081407805,0.7131211256304717
phase2_extinction,CSR_to_CSminus_NonTarget_Distance,early_late_change,23,28,-0.005345239960429479,-0.017293268760708465,0.011948028800278987,0.12203615377369205,0.12015867448486603,0.43234023213625206,0.6674920978513794,0.8068897439574023
phase2_extinction,CSR_to_CSminus_NonTarget_Distance,initial_final_change,23,28,0.00402911174086061,0.010324133565129226,-0.006295021824268616,-0.029606685543182396,-0.029151198073287282,-0.10961207184325185,0.9131871637701594,0.9131871637701594
phase2_extinction,CSR_to_CSminus_NonTarget_Distance,slope,23,28,0.0012527676292967917,-0.001715012194647203,0.002967779823943995,0.11735717719619826,0.1155516821624106,0.42635371452755166,0.6717184339386679,0.8060621207264015
phase2_extinction,CSR_to_HeldoutCSR_Distance,auc_mean,23,28,1.1098373383676527,1.1187803338443087,-0.008942995476656002,-0.1051442533563003,-0.10352664945851107,-0.39828291799062604,0.6925442282324035,0.8310530738788842
phase2_extinction,CSR_to_HeldoutCSR_Distance,early_late_change,23,28,0.0132215102003647,0.021792300255306585,-0.008570790054941886,-0.1329380511327067,-0.1308928503460497,-0.4634899144861408,0.6453717684042182,0.8068897439574023
phase2_extinction,CSR_to_HeldoutCSR_Distance,initial_final_change,23,28,-0.020600328838663088,0.056212845659321255,-0.07681317449798435,-0.4690599336788191,-0.4618436270068373,-1.7132301240228571,0.09303173670157018,0.5581904202094211
phase2_extinction,CSR_to_HeldoutCSR_Distance,slope,23,28,0.0014829322784493187,0.005876421746962203,-0.004393489468512884,-0.26096847031580905,-0.2569535707724889,-0.9301169096064572,0.357003768477542,0.6578930402174715
phase2_extinction,CSS_SafetyTarget_Proximity,auc_mean,23,28,0.013832458390515494,0.04259348269202099,-0.028761024301505497,-0.2937784814022865,-0.28925881245763596,-1.0946758337204963,0.2794711320700429,0.7131211256304717
