phase,metric,n_subjects,n_trials,hc_trial_slope_z,sad_minus_hc_trial_slope_z,group_x_trial_p,sad_minus_hc_intercept_z,group_intercept_p
phase2_extinction,CSR_CueThreatTarget_Proximity,51,408,-0.017394160335341042,0.016866786871818848,0.4145710211047633,-0.004072871258158578,0.8940775816218811
phase2_extinction,CSR_to_CSminus_NonTarget_Distance,51,408,-0.003929586599871887,0.006800037844593548,0.6678737109889381,-0.01301586673481547,0.4167860144417719
phase2_extinction,CSR_to_HeldoutCSR_Distance,51,408,0.013464573735469193,-0.010066749027225408,0.3490642291339583,-0.008942995476656675,0.6888221992215497
phase2_extinction,CSS_SafetyTarget_Proximity,51,408,-0.009965200511029245,-0.015502598133697428,0.4319542760227607,-0.028761024301505428,0.27087624943954014
phase2_extinction,CSS_to_CSR_NonTarget_Distance,51,408,-0.007230607969898689,-0.0015602678926756241,0.9140062630046238,-0.016478147127719903,0.23071984513902988
phase2_extinction,CSS_to_CSminus_Distance,51,408,0.002734592541130648,0.013942330241021754,0.2940120576853117,0.012282877173785553,0.4692025790562897
phase3_reinstatement,CSR_CueThreatTarget_Proximity,50,400,-0.0014558215845659852,-5.403327974591696e-05,0.9749161244666339,-0.009127398756316156,0.38374812261654534
phase3_reinstatement,CSR_ShockTarget_Proximity,50,400,0.007900737307787176,0.014605503175265893,0.17022431350157963,-0.011016777568996074,0.7158955460177779
phase3_reinstatement,CSR_to_CSminus_NonTarget_Distance,50,400,0.003300183426587241,0.008031580226095913,0.1483631170170767,-0.010029295932346693,0.5846033724603359
phase3_reinstatement,CSR_to_HeldoutCSR_Distance,50,400,0.004756005011153232,0.008085613505841829,0.15170314264943105,-0.0009018971760305482,0.9549017488872625
phase3_reinstatement,CSR_to_Shock_Distance,50,400,-0.004600553881200065,-0.0065739229491701525,0.20079348799722818,0.000987481636649162,0.9387354400760421
phase3_reinstatement,CSS_SafetyTarget_Proximity,50,400,0.0016771593922528206,-0.00047187802530768066,0.8222218670050474,0.01464772065699832,0.17836352413204648
phase3_reinstatement,CSS_to_CSR_NonTarget_Distance,50,400,0.011215821554767302,0.007003346806352818,0.5069255792925285,0.00941771806903117,0.558355833326317
phase3_reinstatement,CSS_to_CSminus_Distance,50,400,0.009538662162514488,0.007475224831660526,0.4872363142416165,-0.005230002587967141,0.7919168923228285
phase3_reinstatement,CSS_to_Shock_NonTarget_Distance,50,400,-0.009031555217827808,-0.006021847939382718,0.5199528247644691,-0.005690533004772487,0.681800495581754
