trial,n_sad,n_hc,mean_sad,mean_hc,estimate,std_error,ci_low,ci_high,t,df,p,q,standardized_effect,standardized_effect_type,correction_family,trajectory_metric,status
1,22,28,0.10955129721500002,0.043058646889285714,0.0664926503257143,0.14509015781860618,-0.22791632103489654,0.3609016216863251,0.45828505065687763,35.47086222036615,0.6495431473052911,0.7046668852124662,0.13654644834168708,"Cohen's d, raw SAD-HC pooled SD",Aim 2 trial-wise neural discrimination contrasts,Delta_t = ThreatEvidence(CSR_t) - SafetyEvidence(CSS_t),ok
2,22,28,-0.1537450013636364,-0.08423847065342857,-0.06950653071020782,0.13025562839246296,-0.3316619133686096,0.19264885194819395,-0.5336163324995307,46.23264188794578,0.5961633487635752,0.7046668852124662,-0.14435570864914038,"Cohen's d, raw SAD-HC pooled SD",Aim 2 trial-wise neural discrimination contrasts,Delta_t = ThreatEvidence(CSR_t) - SafetyEvidence(CSS_t),ok
3,22,28,-0.012029477167272727,0.0384584427475,-0.05048791991477273,0.13233221625335054,-0.31725252241408564,0.21627668258454016,-0.38152402600220503,43.614795136771065,0.7046668852124662,0.7046668852124662,-0.10964940903125073,"Cohen's d, raw SAD-HC pooled SD",Aim 2 trial-wise neural discrimination contrasts,Delta_t = ThreatEvidence(CSR_t) - SafetyEvidence(CSS_t),ok
4,22,28,0.05622319128181818,0.002721375114285708,0.05350181616753247,0.12712657933477206,-0.2022455607878479,0.3092491931229128,0.42085468237639023,46.98825866193414,0.6757799387135387,0.7046668852124662,0.1184474869333267,"Cohen's d, raw SAD-HC pooled SD",Aim 2 trial-wise neural discrimination contrasts,Delta_t = ThreatEvidence(CSR_t) - SafetyEvidence(CSS_t),ok
5,22,28,-0.5764511508227272,-0.6810691918214286,0.10461804099870131,0.14461846407388906,-0.18754356847661002,0.39677965047401265,0.7234072196012912,40.54894621065334,0.4735823948257465,0.7046668852124662,0.1908148024978725,"Cohen's d, raw SAD-HC pooled SD",Aim 2 trial-wise neural discrimination contrasts,Delta_t = ThreatEvidence(CSR_t) - SafetyEvidence(CSS_t),ok
6,22,28,-0.6890826756909092,-0.4061395402928571,-0.2829431353980521,0.15978646451018536,-0.6044804462796702,0.03859417548356597,-1.7707578440100995,46.51549720388993,0.08315368718686533,0.6652294974949227,-0.5002958841668088,"Cohen's d, raw SAD-HC pooled SD",Aim 2 trial-wise neural discrimination contrasts,Delta_t = ThreatEvidence(CSR_t) - SafetyEvidence(CSS_t),ok
7,22,28,-0.531530544331818,-0.4192098728315714,-0.1123206715002466,0.15350442733345865,-0.4224286859546887,0.19778734295419548,-0.7317096545772696,40.571205739876426,0.46855146283214333,0.7046668852124662,-0.21327909111648788,"Cohen's d, raw SAD-HC pooled SD",Aim 2 trial-wise neural discrimination contrasts,Delta_t = ThreatEvidence(CSR_t) - SafetyEvidence(CSS_t),ok
8,22,28,-0.3437781640522728,-0.48206866824642863,0.13829050419415584,0.3375149572180752,-0.5549536798613262,0.8315346882496379,0.4097314837066719,26.413126554266473,0.685307029480285,0.7046668852124662,0.12752269918446452,"Cohen's d, raw SAD-HC pooled SD",Aim 2 trial-wise neural discrimination contrasts,Delta_t = ThreatEvidence(CSR_t) - SafetyEvidence(CSS_t),ok
