status,outcome,term,estimate,std_error,t,p,ci_low,ci_high,n,r2,formula,analysis,session,Group,metric,metric_z,clinical_score,clinical_score_z,clinical_outlier_method,metric_outlier_method,clinical_outlier_threshold,n_clinical_outliers_removed,n_metric_outliers_removed,covariates_used,covariate_outliers_removed,clinical_score_order,clinical_score_role,clinical_score_family,clinical_score_label,metric_order,metric_role,aim2_question,aim2_question_label,is_primary_clinical_score,is_primary_neural_metric,q_within_group_question,q_within_group_clinical_score
ok,z_lsas_avoid,Q('z_Prototype_Certainty'),0.010491781040168143,0.23127138600620473,0.04536566853924014,0.9642892619139072,-0.4735647929671569,0.49454835504749317,23,0.07649012065890637,Q('z_lsas_avoid') ~ Q('z_Prototype_Certainty') + Q('z_demo_age') + C(Q('Gender')),PrimaryRepresentativeNeural_Aim3_Groupwise_Placebo_ZOLS,Placebo,SAD,Prototype_Certainty,z_Prototype_Certainty,lsas_avoid,z_lsas_avoid,fearnetwork_stage29_zscore,fearnetwork_stage29_zscore,3.0,0,0,"z_demo_age,Gender",demo_age:0,4,secondary,social_anxiety_subscale,LSAS avoidance,2,primary,Q2_decision_certainty,Are safety and threat cues represented decisively or ambiguously?,False,True,0.9642892619139072,0.9642892619139072
ok,z_lsas_avoid,Q('z_Neural_DynamicDiscrimination_Volatility'),0.06347412189452016,0.23497237181125324,0.27013440518661125,0.7899692103492679,-0.4283287044277949,0.5552769482168353,23,0.07992379047291831,Q('z_lsas_avoid') ~ Q('z_Neural_DynamicDiscrimination_Volatility') + Q('z_demo_age') + C(Q('Gender')),PrimaryRepresentativeNeural_Aim3_Groupwise_Placebo_ZOLS,Placebo,SAD,Neural_DynamicDiscrimination_Volatility,z_Neural_DynamicDiscrimination_Volatility,lsas_avoid,z_lsas_avoid,fearnetwork_stage29_zscore,fearnetwork_stage29_zscore,3.0,0,0,"z_demo_age,Gender",demo_age:0,4,secondary,social_anxiety_subscale,LSAS avoidance,3,primary,Q3_learning_dynamics,How do safety and threat representations change over learning?,False,True,0.7899692103492679,0.9642892619139072
ok,z_dass_stress,Q('z_Neural_Threat_Safety_Distance'),-0.04382162190074467,0.23323078180432322,-0.1878895296827084,0.8530651232236959,-0.5338213118560776,0.44617806805458826,22,0.08842565441420891,Q('z_dass_stress') ~ Q('z_Neural_Threat_Safety_Distance') + Q('z_demo_age') + C(Q('Gender')),PrimaryRepresentativeNeural_Aim3_Groupwise_Placebo_ZOLS,Placebo,SAD,Neural_Threat_Safety_Distance,z_Neural_Threat_Safety_Distance,dass_stress,z_dass_stress,fearnetwork_stage29_zscore,fearnetwork_stage29_zscore,3.0,0,1,"z_demo_age,Gender",demo_age:0,5,secondary,general_distress,DASS stress,1,primary,Q1_geometry,Where are safety and threat in neural space?,False,True,0.9736324581468914,0.8530651232236959
ok,z_dass_stress,Q('z_Prototype_Certainty'),-0.1365485106448685,0.2320571334748224,-0.5884262577934656,0.5631764801560876,-0.6222496730047007,0.34915265171496374,23,0.07020418743154122,Q('z_dass_stress') ~ Q('z_Prototype_Certainty') + Q('z_demo_age') + C(Q('Gender')),PrimaryRepresentativeNeural_Aim3_Groupwise_Placebo_ZOLS,Placebo,SAD,Prototype_Certainty,z_Prototype_Certainty,dass_stress,z_dass_stress,fearnetwork_stage29_zscore,fearnetwork_stage29_zscore,3.0,0,0,"z_demo_age,Gender",demo_age:0,5,secondary,general_distress,DASS stress,2,primary,Q2_decision_certainty,Are safety and threat cues represented decisively or ambiguously?,False,True,0.9642892619139072,0.8530651232236959
ok,z_dass_stress,Q('z_Neural_DynamicDiscrimination_Volatility'),-0.11489454733852558,0.23689085186273187,-0.4850104866231899,0.6332137767095325,-0.6107127985564879,0.38092370387943675,23,0.06483815469598586,Q('z_dass_stress') ~ Q('z_Neural_DynamicDiscrimination_Volatility') + Q('z_demo_age') + C(Q('Gender')),PrimaryRepresentativeNeural_Aim3_Groupwise_Placebo_ZOLS,Placebo,SAD,Neural_DynamicDiscrimination_Volatility,z_Neural_DynamicDiscrimination_Volatility,dass_stress,z_dass_stress,fearnetwork_stage29_zscore,fearnetwork_stage29_zscore,3.0,0,0,"z_demo_age,Gender",demo_age:0,5,secondary,general_distress,DASS stress,3,primary,Q3_learning_dynamics,How do safety and threat representations change over learning?,False,True,0.7899692103492679,0.8530651232236959
ok,z_dass_depression,Q('z_Neural_Threat_Safety_Distance'),0.007977833469392542,0.23803498576727594,0.03351538196654998,0.9736324581468914,-0.49211511447752077,0.5080707814163058,22,0.011262847649118113,Q('z_dass_depression') ~ Q('z_Neural_Threat_Safety_Distance') + Q('z_demo_age') + C(Q('Gender')),PrimaryRepresentativeNeural_Aim3_Groupwise_Placebo_ZOLS,Placebo,SAD,Neural_Threat_Safety_Distance,z_Neural_Threat_Safety_Distance,dass_depression,z_dass_depression,fearnetwork_stage29_zscore,fearnetwork_stage29_zscore,3.0,0,1,"z_demo_age,Gender",demo_age:0,6,secondary,general_distress,DASS depression,1,primary,Q1_geometry,Where are safety and threat in neural space?,False,True,0.9736324581468914,0.9736324581468914
ok,z_dass_depression,Q('z_Prototype_Certainty'),-0.06456624614502368,0.2399428586588011,-0.26909009297433156,0.7907607541706505,-0.5667724210013764,0.43763992871132895,23,0.005938172767722905,Q('z_dass_depression') ~ Q('z_Prototype_Certainty') + Q('z_demo_age') + C(Q('Gender')),PrimaryRepresentativeNeural_Aim3_Groupwise_Placebo_ZOLS,Placebo,SAD,Prototype_Certainty,z_Prototype_Certainty,dass_depression,z_dass_depression,fearnetwork_stage29_zscore,fearnetwork_stage29_zscore,3.0,0,0,"z_demo_age,Gender",demo_age:0,6,secondary,general_distress,DASS depression,2,primary,Q2_decision_certainty,Are safety and threat cues represented decisively or ambiguously?,False,True,0.9642892619139072,0.9736324581468914
ok,z_dass_depression,Q('z_Neural_DynamicDiscrimination_Volatility'),0.24270442231940392,0.23828302346045502,1.018555240716436,0.32120946449276006,-0.2560276775404569,0.7414365221792647,23,0.053814248104743556,Q('z_dass_depression') ~ Q('z_Neural_DynamicDiscrimination_Volatility') + Q('z_demo_age') + C(Q('Gender')),PrimaryRepresentativeNeural_Aim3_Groupwise_Placebo_ZOLS,Placebo,SAD,Neural_DynamicDiscrimination_Volatility,z_Neural_DynamicDiscrimination_Volatility,dass_depression,z_dass_depression,fearnetwork_stage29_zscore,fearnetwork_stage29_zscore,3.0,0,0,"z_demo_age,Gender",demo_age:0,6,secondary,general_distress,DASS depression,3,primary,Q3_learning_dynamics,How do safety and threat representations change over learning?,False,True,0.7899692103492679,0.9636283934782802
ok,z_ecr_total,Q('z_Neural_Threat_Safety_Distance'),0.024531301177897105,0.23840807820547416,0.1028962666137285,0.919183002238964,-0.47634548489547407,0.5254080872512683,22,0.010333997397014238,Q('z_ecr_total') ~ Q('z_Neural_Threat_Safety_Distance') + Q('z_demo_age') + C(Q('Gender')),PrimaryRepresentativeNeural_Aim3_Groupwise_Placebo_ZOLS,Placebo,SAD,Neural_Threat_Safety_Distance,z_Neural_Threat_Safety_Distance,ecr_total,z_ecr_total,fearnetwork_stage29_zscore,fearnetwork_stage29_zscore,3.0,0,1,"z_demo_age,Gender",demo_age:0,7,secondary,attachment,ECR total,1,primary,Q1_geometry,Where are safety and threat in neural space?,False,True,0.9736324581468914,0.919183002238964
ok,z_ecr_total,Q('z_Prototype_Certainty'),-0.18686827614410823,0.23258424770402583,-0.8034433887453406,0.4316557428371639,-0.673672701265084,0.29993614897686766,23,0.06597535608463112,Q('z_ecr_total') ~ Q('z_Prototype_Certainty') + Q('z_demo_age') + C(Q('Gender')),PrimaryRepresentativeNeural_Aim3_Groupwise_Placebo_ZOLS,Placebo,SAD,Prototype_Certainty,z_Prototype_Certainty,ecr_total,z_ecr_total,fearnetwork_stage29_zscore,fearnetwork_stage29_zscore,3.0,0,0,"z_demo_age,Gender",demo_age:0,7,secondary,attachment,ECR total,2,primary,Q2_decision_certainty,Are safety and threat cues represented decisively or ambiguously?,False,True,0.9642892619139072,0.6474836142557459
