AnalysisSet,Effect,Contrast,Test,Group,N,Mean,SE,t,p,Cohen_d
Simple CS+ learners,Acquisition: late minus early discrimination,CSR - CS-,SAD vs 0,SAD,20,-0.05070719742226539,0.02139605406755951,-2.3699321969440685,0.9857344522843352,-0.5299329494432357
Simple CS+ learners,Acquisition: late minus early discrimination,CSR - CS-,SAD vs HC,SAD-HC,41,-0.050359004119912745,,-1.2972083577208802,0.20319948981524102,-0.401136380084131
Habituation-adjusted CS+ learners,Acquisition: late minus early discrimination,CS+ - CS-,HC vs 0,HC,15,-0.04663587639873725,0.027009332969372156,-1.7266578353349584,0.9468912359931779,-0.4458211360567228
Habituation-adjusted CS+ learners,Acquisition: late minus early discrimination,CS+ - CS-,SAD vs 0,SAD,17,-0.06994946095101948,0.017995047259420218,-3.8871507222300656,0.9993456367656968,-0.9427725300265022
Habituation-adjusted CS+ learners,Acquisition: late minus early discrimination,CS+ - CS-,SAD vs HC,SAD-HC,32,-0.023313584552282225,,-0.7183361017674905,0.4792379934569885,-0.2599639882258793
Habituation-adjusted CS+ learners,Acquisition: late minus early discrimination,CSS - CS-,HC vs 0,HC,15,-0.04485730598168902,0.03208162009564469,-1.398224461481567,0.9080979663556168,-0.36102000357186287
Habituation-adjusted CS+ learners,Acquisition: late minus early discrimination,CSS - CS-,SAD vs 0,SAD,17,-0.07873724904163272,0.024960363752736213,-3.1544912494715285,0.996931456849479,-0.7650765068622202
Habituation-adjusted CS+ learners,Acquisition: late minus early discrimination,CSS - CS-,SAD vs HC,SAD-HC,32,-0.0338799430599437,,-0.8334984134268165,0.411791976141221,-0.29883738590630177
Habituation-adjusted CS+ learners,Acquisition: late minus early discrimination,CSR - CS-,HC vs 0,HC,15,-0.04841444681578545,0.03193523148651485,-1.516019911621095,0.924117646850867,-0.39143465801515603
Habituation-adjusted CS+ learners,Acquisition: late minus early discrimination,CSR - CS-,SAD vs 0,SAD,17,-0.06116167286040621,0.02143677108104991,-2.85311965263617,0.9942467770102673,-0.6919831582555587
Habituation-adjusted CS+ learners,Acquisition: late minus early discrimination,CSR - CS-,SAD vs HC,SAD-HC,32,-0.012747226044620759,,-0.3314162023704255,0.7430906554225689,-0.119886827986593
Late-phase sensitivity CS+ learners,Acquisition: late minus early discrimination,CS+ - CS-,HC vs 0,HC,11,0.08660581435949219,0.015881221683947018,5.453347109122888,0.0001397672808254886,1.644246019320902
Late-phase sensitivity CS+ learners,Acquisition: late minus early discrimination,CS+ - CS-,SAD vs 0,SAD,11,0.056108772450016914,0.02026231251958581,2.7691198818388303,0.009908603586538448,0.8349210588702438
Late-phase sensitivity CS+ learners,Acquisition: late minus early discrimination,CS+ - CS-,SAD vs HC,SAD-HC,22,-0.030497041909475275,,-1.1846084266594004,0.25084030198751306,-0.5051187303293536
Late-phase sensitivity CS+ learners,Acquisition: late minus early discrimination,CSS - CS-,HC vs 0,HC,11,0.03461719760891559,0.02801539307612779,1.2356491845339577,0.12241463542729669,0.3725622470552507
Late-phase sensitivity CS+ learners,Acquisition: late minus early discrimination,CSS - CS-,SAD vs 0,SAD,11,0.019716378819878467,0.01701612683268015,1.1586878150210056,0.13675244349279014,0.34935752105285445
Late-phase sensitivity CS+ learners,Acquisition: late minus early discrimination,CSS - CS-,SAD vs HC,SAD-HC,22,-0.01490081878903712,,-0.45459530518787405,0.6553260691894648,-0.19384008943590417
Late-phase sensitivity CS+ learners,Acquisition: late minus early discrimination,CSR - CS-,HC vs 0,HC,11,0.1385944311100688,0.033339622043483584,4.157048659079141,0.0009789561721874904,1.253397330674141
Late-phase sensitivity CS+ learners,Acquisition: late minus early discrimination,CSR - CS-,SAD vs 0,SAD,11,0.09250116608015534,0.037149155852588676,2.489993755099271,0.015995272124934286,0.7507613650902158
Late-phase sensitivity CS+ learners,Acquisition: late minus early discrimination,CSR - CS-,SAD vs HC,SAD-HC,22,-0.04609326502991347,,-0.92341976805117,0.36692200377532835,-0.3937475120908821
