AnalysisSet,Effect,Contrast,Test,Group,N,Mean,SE,t,p,Cohen_d
All subjects,Reinstatement: Early condition contrast,CSR - CS-,HC vs 0,HC,52,0.010383720878173743,0.011174180276817837,0.9292601891984869,0.1785659368159161,0.12886520232317356
All subjects,Reinstatement: Early condition contrast,CSR - CS-,SAD vs 0,SAD,49,0.030418645429318433,0.012978139412704445,2.343837160474735,0.011637266997412526,0.3348338800678193
All subjects,Reinstatement: Early condition contrast,CSR - CS-,SAD vs HC,SAD-HC,101,0.020034924551144688,,1.169865194885685,0.2449535958665278,0.2337503958609032
All subjects,Reinstatement: Late condition contrast,CS+ - CS-,HC vs 0,HC,52,0.010390437246312216,0.007282593004248092,1.426749681089037,0.07987287836174618,0.19785458201609296
All subjects,Reinstatement: Late condition contrast,CS+ - CS-,SAD vs 0,SAD,49,0.01025984793558537,0.007246262515719422,1.4158813475675955,0.0816333585270953,0.20226876393822793
All subjects,Reinstatement: Late condition contrast,CS+ - CS-,SAD vs HC,SAD-HC,101,-0.0001305893107268457,,-0.01271129695561453,0.9898837226997736,-0.0025281259841547724
All subjects,Reinstatement: Late condition contrast,CSS - CS-,HC vs 0,HC,52,0.01286755907664001,0.006917036886501024,1.8602704145978686,0.034309144763377146,0.2579730910023565
All subjects,Reinstatement: Late condition contrast,CSS - CS-,SAD vs 0,SAD,49,0.009230422528511207,0.009172346015676989,1.0063316966820652,0.15965114538300348,0.14376167095458078
All subjects,Reinstatement: Late condition contrast,CSS - CS-,SAD vs HC,SAD-HC,101,-0.003637136548128802,,-0.31659928941249704,0.75227636467842,-0.06350282717000279
All subjects,Reinstatement: Late condition contrast,CSR - CS-,HC vs 0,HC,52,0.007913315415984433,0.009640055101221175,0.8208786498514928,0.20776801010984186,0.11383538703743105
All subjects,Reinstatement: Late condition contrast,CSR - CS-,SAD vs 0,SAD,49,0.011289273342659537,0.008426094964552672,1.3397989685793752,0.09330972956701676,0.19139985265419646
All subjects,Reinstatement: Late condition contrast,CSR - CS-,SAD vs HC,SAD-HC,101,0.0033759579266751036,,0.26367451279409787,0.7925846551616851,0.052240503701409355
Physiological responders,Reinstatement: All condition contrast,CS+ - CS-,HC vs 0,HC,31,0.01144930896161874,0.00781161255321055,1.4656780381296697,0.07656978231810972,0.2632435467122902
Physiological responders,Reinstatement: All condition contrast,CS+ - CS-,SAD vs 0,SAD,26,0.0243602110904711,0.01019705489622136,2.3889457631044104,0.012381247877248314,0.46851081011477674
Physiological responders,Reinstatement: All condition contrast,CS+ - CS-,SAD vs HC,SAD-HC,57,0.01291090212885236,,1.0051086540198562,0.31979097924537714,0.27154272457586204
Physiological responders,Reinstatement: All condition contrast,CSS - CS-,HC vs 0,HC,31,0.013621703307916115,0.008695302630250291,1.5665588521930511,0.0638532899573809,0.28136227579085077
