AnalysisSet,Subject,Phase,CSplus_minus_CSminus,CSS_minus_CSminus,CSR_minus_CSminus
All subjects,N234,Acquisition,-0.0005760296958253475,0.0027642605802625786,-0.0039163199719132735
All subjects,N235,Acquisition,-0.02457327264330525,-0.05741297642894879,0.00826643114233827
All subjects,N236,Acquisition,0.16627011802373526,0.11888983920788065,0.21365039683958986
All subjects,N237,Acquisition,-0.004864065536986751,-0.0057076891376734475,-0.004020441936300051
All subjects,N238,Acquisition,0.012183492931011205,0.02436698586202241,0.0
All subjects,N240,Acquisition,0.05728721952013362,0.08835421783601345,0.02622022120425379
All subjects,N241,Acquisition,0.0,0.0,0.0
All subjects,N242,Acquisition,0.010269797953221865,0.02053959590644373,0.0
All subjects,N243,Acquisition,0.01963736284000997,0.03848013298083676,0.0007945926991831664
All subjects,N244,Acquisition,0.024070126316053223,0.049170300875930495,-0.00103004824382405
All subjects,N246,Acquisition,-0.009671532488922836,0.0394518919942954,-0.05879495697214106
All subjects,N247,Acquisition,-0.021553098226667344,0.013324593663739115,-0.056430790117073824
All subjects,N248,Acquisition,0.00018444700034794814,0.0015372260163831197,-0.0011683320156871957
All subjects,N249,Acquisition,-0.04380846545314156,-0.04380846545314156,-0.04380846545314156
All subjects,N250,Acquisition,-0.050101987279370486,-0.039458620800666484,-0.06074535375807449
All subjects,N251,Acquisition,-0.021773755637246206,0.03516654068119135,-0.0787140519556837
All subjects,N252,Acquisition,0.12787128765906836,0.0015826196178524432,0.2541599557002843
All subjects,N253,Acquisition,0.05417418921815351,0.07962046915770363,0.02872790927860333
All subjects,N254,Acquisition,-0.020743469289165997,0.029206264640617832,-0.07069320321894983
All subjects,N255,Acquisition,-0.02436698586202241,-0.02436698586202241,-0.02436698586202241
All subjects,N257,Acquisition,0.011204121981251869,0.00917655391932759,0.013231690043176147
All subjects,N258,Acquisition,-0.008872747825160593,-0.003868946568187398,-0.013876549082133788
All subjects,N259,Acquisition,0.043696494704320826,0.025446378365269886,0.06194661104337179
All subjects,N260,Acquisition,0.01635314801787241,0.024238169178444235,0.008468126857300584
All subjects,N101,Extinction,0.005018140358387879,-0.00766199260323619,0.017698273320011948
All subjects,N103,Extinction,-0.036800388077869894,0.0,-0.07360077615573979
All subjects,N104,Extinction,-0.03894266179400979,-0.038738797733555694,-0.039146525854463904
All subjects,N105,Extinction,0.009702414859149744,0.0016634706161625379,0.01774135910213695
All subjects,N106,Extinction,-0.0013312615827461571,-0.005109892808569549,0.002447369643077152
All subjects,N108,Extinction,-0.03202280159715351,0.01624033819957449,-0.08028594139388151
All subjects,N109,Extinction,0.049689934383914836,-0.028994714877417338,0.12837458364524706
All subjects,N110,Extinction,-0.0070343030509596866,0.003609063427744315,-0.017677669529663688
All subjects,N111,Extinction,0.04798606323716653,0.04190142163704155,0.05407070483729154
All subjects,N112,Extinction,-0.01293289708215202,-0.0030628937823935776,-0.022802900381910463
All subjects,N113,Extinction,0.03291665708208566,0.034374862390512656,0.03145845177365866
All subjects,N114,Extinction,-0.03513367330638799,-0.03513367330638799,-0.03513367330638799
All subjects,N115,Extinction,0.05431731911576257,0.05560162964253408,0.05303300858899106
All subjects,N117,Extinction,0.0,0.0,0.0
All subjects,N118,Extinction,-0.08488018119300367,-0.08585793574298345,-0.08390242664302389
All subjects,N121,Extinction,-0.07453394901265412,-0.09386085743224437,-0.05520704059306385
All subjects,N122,Extinction,0.02459240817058339,0.027000904591935826,0.0221839117492309
All subjects,N123,Extinction,0.03369417996476603,0.01962312842171341,0.047765231507818674
All subjects,N124,Extinction,-0.08427035285510945,-0.07231288143475148,-0.09622782427546739
All subjects,N125,Extinction,0.02673991805506746,0.053906111395137284,-0.0004262752850023588
All subjects,N127,Extinction,0.03747817242991369,0.03832148672003484,0.03663485813979256
All subjects,N128,Extinction,0.01698015989939921,0.014241226831125164,0.01971909296767326
All subjects,N129,Extinction,-0.18657085551990277,-0.2530454370482494,-0.12009627399155615
All subjects,N130,Extinction,-0.01060148447148515,-0.011320565531712234,-0.009882403411258067
All subjects,N131,Extinction,0.12244884447840654,0.1189514174227228,0.12594627153409027
All subjects,N132,Extinction,-0.04635603199065422,-0.03750726772048067,-0.05520479626082775
All subjects,N133,Extinction,-0.032303945481338386,-0.04907289207232085,-0.01553499889035595
All subjects,N134,Extinction,-0.01976423537605237,-0.01976423537605237,-0.01976423537605237
All subjects,N135,Extinction,0.04194470821827324,0.06152873666154858,0.022360679774997897
All subjects,N136,Extinction,0.0007087855777390129,0.0016258143432857641,-0.00020824318780779394
All subjects,N137,Extinction,0.023487799967411252,0.05570859953734521,-0.008732999602522662
All subjects,N138,Extinction,0.04250165220445967,0.04137636002625411,0.04362694438266529
All subjects,N141,Extinction,0.009730933723210072,0.01749967604957592,0.00196219139684424
All subjects,N142,Extinction,0.00434529676056547,0.00720591569652676,0.0014846778246041525
All subjects,N143,Extinction,0.025979693432558973,0.08019374766047517,-0.028234360795357308
All subjects,N144,Extinction,0.01102919716795392,0.012384966233586425,0.009673428102321413
All subjects,N145,Extinction,0.0006851643481392555,0.0023510212434257605,-0.0009806925471472494
All subjects,N146,Extinction,0.0022555365109757086,-0.0015011746311217045,0.0060122476530731495
All subjects,N147,Extinction,-0.02548906448906725,-0.03457997852893602,-0.01639815044919849
All subjects,N148,Extinction,-0.0004592340901789643,-0.0004448224490965075,-0.0004736457312614073
All subjects,N149,Extinction,-0.052738114537054986,0.0022388952902043513,-0.10771512436431431
All subjects,N150,Extinction,0.03455937938481156,0.033705324616011806,0.03541343415361131
All subjects,N151,Extinction,-0.026734779996032076,-0.0185507723358099,-0.03491878765625426
All subjects,N153,Extinction,-0.04838943558754849,-0.02863457990268309,-0.06814429127241389
All subjects,N154,Extinction,-0.007066394127532016,-0.011153933948589795,-0.0029788543064742934
All subjects,N155,Extinction,0.00024773639739078535,-0.0009257042395311443,0.0014211770343126873
All subjects,N156,Extinction,-0.05355250288607161,-0.004857270959142512,-0.10224773481300067
All subjects,N157,Extinction,-0.11990423269972342,-0.10879978640499921,-0.13100867899444762
All subjects,N158,Extinction,-0.02687234313238257,-0.043959000282749155,-0.009785685982015985
All subjects,N201,Extinction,0.10866930031957606,0.1134647623866927,0.10387383825245944
All subjects,N202,Extinction,0.004424286471570754,-0.06593564787194264,0.07478422081508418
All subjects,N203,Extinction,-0.027602744743142935,-0.0012993780911485786,-0.053906111395137284
All subjects,N204,Extinction,0.0,0.0,0.0
All subjects,N206,Extinction,0.027166193340069818,0.03535533905932737,0.018977047620812267
All subjects,N207,Extinction,0.0,0.0,0.0
All subjects,N209,Extinction,-0.008838834764831844,0.0,-0.017677669529663688
All subjects,N210,Extinction,0.016384762570132785,-0.007299966095939789,0.04006949123620537
All subjects,N211,Extinction,0.011526058541913436,0.0023457524258773677,0.020706364657949505
All subjects,N212,Extinction,0.030399360404168962,0.011325109144915885,0.04947361166342201
All subjects,N213,Extinction,-0.048352912992551844,-0.03568598816659102,-0.06101983781851272
All subjects,N214,Extinction,0.06807771867669654,0.12381731078974217,0.012338126563650964
All subjects,N215,Extinction,-0.017234548131367766,-0.016524503450980804,-0.0179445928117547
All subjects,N216,Extinction,0.02397524641219606,0.05718206042174234,-0.009231567597350165
All subjects,N217,Extinction,-0.10356349572964979,-0.11655594581155626,-0.09057104564774332
All subjects,N219,Extinction,0.0006750973377844249,0.012138737102678043,-0.010788542427109221
All subjects,N220,Extinction,0.00783451157738159,-0.0020568796926916794,0.01772590284745483
