AnalysisSet,Phase,Contrast,N,Early_diff_mean,Late_diff_mean,Late_minus_Early,Paired_t_late_less_early,p_one_sided_late_less_early,Wilcoxon_p_one_sided_late_less_early
All subjects,Acquisition,CS+ - CS-,104,0.020965779832655275,0.010066184813561736,-0.01089959501909354,-1.2320072532813233,0.11037575737812862,0.1589929528649373
All subjects,Acquisition,CSS - CS-,104,0.0315826765673522,0.006336505569781465,-0.025246170997570736,-2.606664135629831,0.00524927661449779,0.01507650983404354
All subjects,Acquisition,CSR - CS-,104,0.010348883097958348,0.013795864057342008,0.0034469809593836607,0.30029216850693413,0.6177202247102969,0.6509129760466993
Physiological responders,Acquisition,CS+ - CS-,59,0.04628493456466665,0.020654061686153496,-0.02563087287851315,-1.7974073379511877,0.03873865453059539,0.04195051980423914
Physiological responders,Acquisition,CSS - CS-,59,0.06263965755438229,0.015679345238954763,-0.046960312315427535,-3.0135326389810877,0.0019122171908439282,0.004032462666791937
Physiological responders,Acquisition,CSR - CS-,59,0.02993021157495099,0.025628778133352233,-0.0043014334415987605,-0.22420927521622264,0.41169120877773624,0.32531809563420955
Late-phase learners,Acquisition,CS+ - CS-,17,-0.005611806416784826,0.07413863350184295,0.07975043991862778,4.927748105273697,0.9999242788194643,1.0
Late-phase learners,Acquisition,CSS - CS-,17,0.03803386307590751,0.061314556017089086,0.02328069294118158,1.1470591921481412,0.8658893782690069,0.945556640625
Late-phase learners,Acquisition,CSR - CS-,17,-0.049257475909477176,0.08696271098659683,0.136220186896074,4.465235282980633,0.9998046716609621,0.9999771118164062
