Condition,N,Early_sqrt_mean,Late_sqrt_mean,Late_minus_Early_sqrt,t_late_less_early,p_late_less_early,Early_floor_percent,Late_floor_percent,Late_minus_Early_floor_percent,t_floor_late_greater_early,p_floor_late_greater_early
CS-,104,0.16065801012999048,0.06232726800290987,-0.09833074212708058,-8.8646651583411,1.2270983593744667e-14,52.88461538461539,77.64423076923077,24.759615384615383,7.8388674849105415,2.168616310617914e-12
CSS,104,0.19224068669734262,0.06866377357269134,-0.12357691312465133,-8.404384753890705,1.2672917328361061e-13,48.79807692307692,78.36538461538461,29.567307692307693,9.085194525937789,3.988366821662132e-15
CSR,104,0.17100689322794876,0.07612313206025188,-0.09488376116769692,-7.40275093219523,1.8799373399525104e-11,55.76923076923077,76.4423076923077,20.673076923076923,7.315147271313922,2.8897293061520672e-11
