Phase,Condition,N_trials,N_subjects,Raw_mean,Raw_median,Sqrt_mean,Sqrt_median,Percent_raw_below_0p02,Percent_raw_ge_0p05
Acquisition,CS-,832,104,0.04969711538461538,0.007,0.11149263906645016,0.0,65.26442307692307,21.033653846153847
Acquisition,CSS,832,104,0.0605420673076923,0.004,0.130452230135017,0.0,63.581730769230774,26.442307692307693
Acquisition,CSR,832,104,0.05902403846153847,0.004,0.12356501264410034,0.0,66.10576923076923,24.759615384615387
Extinction,CS-,808,101,0.03888366336633664,0.022,0.12384351084074953,0.14832396974191325,37.12871287128713,10.51980198019802
Extinction,CSS,808,101,0.03862376237623763,0.022,0.12720102365665242,0.14832396974191325,36.757425742574256,11.138613861386139
Extinction,CSR,808,101,0.03571163366336634,0.021,0.11860013782970769,0.14491376746189438,40.5940594059406,11.014851485148515
Reinstatement,CS-,808,101,0.058096534653465357,0.024,0.16099322055237067,0.15491933384829668,31.93069306930693,19.306930693069308
Reinstatement,CSS,808,101,0.062053217821782185,0.026,0.17249507281111937,0.161245154965971,28.465346534653463,22.400990099009903
Reinstatement,CSR,808,101,0.06523514851485147,0.025,0.17582061613218825,0.15811388300841897,28.341584158415838,22.153465346534652
