AnalysisSet,Effect,Contrast,Test,Group,N,Mean,SE,t,p,Cohen_d
Physiological responders,Reinstatement: early return over late extinction,CSS - CS-,SAD vs HC,SAD-HC,57,0.0666109418179104,,1.66104025051104,0.10340365409353325,0.4516204549418583
Physiological responders,Reinstatement: early return over late extinction,CSR - CS-,HC vs 0,HC,31,-0.0012239778287801172,0.018587267490782797,-0.06585033703243756,0.5260330705721915,-0.011827069671275869
Physiological responders,Reinstatement: early return over late extinction,CSR - CS-,SAD vs 0,SAD,26,0.05139416997365824,0.02843603465386457,1.807360646420987,0.04137776200007059,0.35445258477693387
Physiological responders,Reinstatement: early return over late extinction,CSR - CS-,SAD vs HC,SAD-HC,57,0.052618147802438356,,1.5488696000922348,0.12854387599810685,0.4240347262211699
Simple CS+ learners,Reinstatement: early return over late extinction,CS+ - CS-,HC vs 0,HC,20,-0.004955000941957365,0.024444033090260442,-0.20270799518479013,0.5792409055868648,-0.045326885681589074
Simple CS+ learners,Reinstatement: early return over late extinction,CS+ - CS-,SAD vs 0,SAD,19,0.07413170630756591,0.03387823424087463,2.188180935892013,0.02104366757378816,0.5020031352492388
Simple CS+ learners,Reinstatement: early return over late extinction,CS+ - CS-,SAD vs HC,SAD-HC,39,0.07908670724952327,,1.8931072977014258,0.06710964949054338,0.6111613491291756
Simple CS+ learners,Reinstatement: early return over late extinction,CSS - CS-,HC vs 0,HC,20,-0.013140379831860621,0.0316847697269604,-0.41472227651001486,0.6585048407833665,-0.09273472020598575
Simple CS+ learners,Reinstatement: early return over late extinction,CSS - CS-,SAD vs 0,SAD,19,0.06461891927680442,0.04164628593105416,1.5516130149944625,0.06907970313806713,0.3559644385180696
Simple CS+ learners,Reinstatement: early return over late extinction,CSS - CS-,SAD vs HC,SAD-HC,39,0.07775929910866504,,1.4859658525511064,0.14648707265145422,0.47910034408007846
Simple CS+ learners,Reinstatement: early return over late extinction,CSR - CS-,HC vs 0,HC,20,0.0032303779479458854,0.023201900921821814,0.13922902088197678,0.4453671872807755,0.031132555513283776
Simple CS+ learners,Reinstatement: early return over late extinction,CSR - CS-,SAD vs 0,SAD,19,0.08364449333832744,0.030711765121566283,2.7235325943408886,0.006968321325706284,0.6248212288511099
Simple CS+ learners,Reinstatement: early return over late extinction,CSR - CS-,SAD vs HC,SAD-HC,39,0.08041411539038155,,2.089178231700439,0.04426245587963234,0.6737034392760516
Habituation-adjusted CS+ learners,Reinstatement: early return over late extinction,CS+ - CS-,HC vs 0,HC,14,-0.018772803091581365,0.032124947855228576,-0.5843683599481999,0.7155123505258522,-0.15617901361408257
Habituation-adjusted CS+ learners,Reinstatement: early return over late extinction,CS+ - CS-,SAD vs 0,SAD,16,0.0689195279960958,0.039650140435571045,1.7381912709259038,0.05132779001787547,0.43454781773147594
Habituation-adjusted CS+ learners,Reinstatement: early return over late extinction,CS+ - CS-,SAD vs HC,SAD-HC,30,0.08769233108767716,,1.718418572136637,0.09696549085865905,0.6172530684208397
Habituation-adjusted CS+ learners,Reinstatement: early return over late extinction,CSS - CS-,HC vs 0,HC,14,-0.03386949849329689,0.04238130428796722,-0.7991613062015418,0.7807225186006816,-0.21358484318377932
Habituation-adjusted CS+ learners,Reinstatement: early return over late extinction,CSS - CS-,SAD vs 0,SAD,16,0.06397924045727005,0.04939334510481333,1.2953008208191863,0.1073987963004975,0.3238252052047966
Habituation-adjusted CS+ learners,Reinstatement: early return over late extinction,CSS - CS-,SAD vs HC,SAD-HC,30,0.09784873895056694,,1.5034311258098354,0.1439967099095728,0.5420431833959982
Habituation-adjusted CS+ learners,Reinstatement: early return over late extinction,CSR - CS-,HC vs 0,HC,14,-0.003676107689865853,0.028911570804634724,-0.12715005056994508,0.5496163328698667,-0.033982280424551085
Habituation-adjusted CS+ learners,Reinstatement: early return over late extinction,CSR - CS-,SAD vs 0,SAD,16,0.07385981553492157,0.034918978153067215,2.115176887798874,0.025779999661352044,0.5287942219497185
Habituation-adjusted CS+ learners,Reinstatement: early return over late extinction,CSR - CS-,SAD vs HC,SAD-HC,30,0.07753592322478743,,1.710308450907925,0.09841624239401446,0.6151967789034601
Late-phase sensitivity CS+ learners,Reinstatement: early return over late extinction,CS+ - CS-,HC vs 0,HC,11,-0.005810051969372956,0.03449519854668948,-0.16843074439791994,0.5651988308032149,-0.05078378021165047
Late-phase sensitivity CS+ learners,Reinstatement: early return over late extinction,CS+ - CS-,SAD vs 0,SAD,11,0.08698010102089533,0.04023144542086991,2.161992941366574,0.027960532285844827,0.6518653987190698
Late-phase sensitivity CS+ learners,Reinstatement: early return over late extinction,CS+ - CS-,SAD vs HC,SAD-HC,22,0.09279015299026828,,1.7509172056808744,0.09564081311244105,0.7465936050610522
Late-phase sensitivity CS+ learners,Reinstatement: early return over late extinction,CSS - CS-,HC vs 0,HC,11,-0.008969050810476333,0.0394622328011393,-0.22728188888028122,0.587608106143785,-0.06852806791446747
Late-phase sensitivity CS+ learners,Reinstatement: early return over late extinction,CSS - CS-,SAD vs 0,SAD,11,0.09726247937303051,0.046864119938057315,2.075414613601776,0.03234680596401256,0.6257610507034113
Late-phase sensitivity CS+ learners,Reinstatement: early return over late extinction,CSS - CS-,SAD vs HC,SAD-HC,22,0.10623153018350684,,1.7339415072497415,0.09876228974559208,0.7393551429287436
Late-phase sensitivity CS+ learners,Reinstatement: early return over late extinction,CSR - CS-,HC vs 0,HC,11,-0.0026510531282695786,0.039099605196643815,-0.0678025549091001,0.5263603268172921,-0.020443239496450424
Late-phase sensitivity CS+ learners,Reinstatement: early return over late extinction,CSR - CS-,SAD vs 0,SAD,11,0.07669772266876021,0.03637276407100119,2.1086580750102732,0.030590054333813458,0.6357843314511062
Late-phase sensitivity CS+ learners,Reinstatement: early return over late extinction,CSR - CS-,SAD vs HC,SAD-HC,22,0.07934877579702979,,1.4858807817353668,0.15298476135379094,0.6335816941700294
