table,order,domain,metric,label,definition,metric_phase,direction_note,n_sad,n_hc,sad_mean,sad_sd,hc_mean,hc_sd,mean_difference_sad_minus_hc,cohens_d,ci_low,ci_high,bootstrap_valid_n,t_welch,df_welch,p_value,q_fdr,effect_direction,status,source_column,note
Table S2. Secondary supportive neural metrics for Aim 2,1,Representational geometry,Neural_Dist_Safety_Background,"Safety-background distance
d(CSS, CS-)",Representational distance between CSS and CS-.,extinction,Higher = greater CSS-CS- separation,23,28,0.23146845060429988,0.15337062810692967,0.20748797548900136,0.13107873851089413,0.023980475115298522,0.1694465536944773,-0.39617832665100944,0.7290540536252698,5000,0.5928157910303914,43.54635217281516,0.5563707173345738,0.6517481117828272,higher in SAD,ok,Neural_Dist_Safety_Background,resolved
Table S2. Secondary supportive neural metrics for Aim 2,2,Representational geometry,Neural_Dist_Threat_Background,"Threat-background distance
d(CSR, CS-)",Representational distance between CSR and CS-.,extinction,Higher = greater CSR-CS- separation,23,28,0.250406860425123,0.11770948107810257,0.23020640124484756,0.1267753928149779,0.020200459180275437,0.1645151819033414,-0.3872726190506065,0.7627129097762194,5000,0.5889536918794687,48.22395824619176,0.5586412386709947,0.6517481117828272,higher in SAD,ok,Neural_Dist_Threat_Background,resolved
Table S2. Secondary supportive neural metrics for Aim 2,3,Representational geometry,Neural_Dist_Threat_Safe,"Threat-safety distance
d(CSR, CSS)",Representational distance between CSR and CSS.,extinction,Higher = greater CSR-CSS separation,23,28,0.2991152799714809,0.17603928697767848,0.23938262813727404,0.14249274378168192,0.05973265183420687,0.3770154856650065,-0.18196409900207886,0.9446261346784078,5000,1.3120821811433498,42.11345390330619,0.19659954746824626,0.45873227742590794,higher in SAD,ok,Neural_Dist_Threat_Safety,resolved
Table S2. Secondary supportive neural metrics for Aim 2,4,Decision certainty,Neural_Certainty_CSS,CSS certainty,2 * |P(safety | CSS) - 0.50|,extinction,Higher = less ambiguous CSS evidence,23,28,0.38316936131191087,0.23020509573550155,0.23675442855720052,0.1741286939539822,0.14641493275471035,0.7275346571421177,0.15694023582745353,1.4720450348059793,5000,2.5158135113888487,40.287684431617585,0.01596119618209416,0.11125803520054343,higher in SAD,ok,Neural_Certainty_CSS,resolved
Table S2. Secondary supportive neural metrics for Aim 2,5,Decision certainty,Neural_Certainty_CSR,CSR certainty,2 * |P(threat | CSR) - 0.50|,extinction,Higher = less ambiguous CSR evidence,23,28,0.33102217877001655,0.21761376373393954,0.2090324688305265,0.1628462809179963,0.12198970993949004,0.6440683005621686,0.09126133778588713,1.3172445252162652,5000,2.224974947448372,39.99865565370761,0.03178801005729812,0.11125803520054343,higher in SAD,ok,Neural_Certainty_CSR,resolved
Table S2. Secondary supportive neural metrics for Aim 2,6,Learning dynamics,Neural_Safety_Trajectory_Slope,Safety trajectory slope,Early-extinction translation of CSS toward the CS- safety reference.,early extinction,Interpret sign from exported alignment coding,23,28,0.10057290457815747,0.13188517545165995,0.10306815977119306,0.06429379757015363,-0.0024952551930355893,-0.024844508305849267,-0.4782104774982578,0.7840355078524293,5000,-0.08299647688793822,30.481410556745775,0.9343969974782784,0.9343969974782784,lower in SAD,ok,Neural_Safety_Trajectory_Slope,resolved
Table S2. Secondary supportive neural metrics for Aim 2,7,Learning dynamics,Neural_Threat_Trajectory_Slope,Threat trajectory slope,Early-reinstatement translation of CSR toward the threat reference.,early reinstatement,Interpret sign from exported alignment coding,22,28,0.007161193911599864,0.015915325514343995,0.015349913129457911,0.04028464467169065,-0.008188719217858048,-0.25593843405776556,-0.6207906996926911,0.3639870255216039,5000,-0.982447532711969,36.91937834453327,0.3322741430099554,0.5814797502674219,lower in SAD,ok,Neural_Threat_Trajectory_Slope,resolved
